Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,4,7,7,4,1,1,1,1,0,0,0.010468,0.010581,0.009899,NOT SUPPORT!,0.033109,0.034702,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.5167997902591003e-05,36.407124681933844,26.464138680519685,241.4852654597421,34.66,4.88,4.35,3.47,11.69,3.83,0.0,16128.0,94.0
64,4,8,8,4,1,1,1,1,0,0,0.009899,0.010468,0.010126,NOT SUPPORT!,0.033451,0.034475,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.720000000026465e-06,26.27237354085603,87.77142857108291,257.21904761803466,3.63,2.69,2.02,3.3,5.45,1.6,0.0,8192.0,80.0
64,4,15,15,4,1,1,1,1,0,0,0.010126,0.010581,0.010012,NOT SUPPORT!,0.035840,0.037319,NOT SUPPORT!,NOT SUPPORT!,2,2,1,6.688004134383884e-06,11.25,275.59791575544534,387.559569031095,47.71,3.17,2.55,4.9,8.49,0.23,0.0,58368.0,20.0
64,4,16,16,4,1,1,1,1,0,0,0.010581,0.010695,0.010354,NOT SUPPORT!,0.036409,0.037319,NOT SUPPORT!,NOT SUPPORT!,2,2,1,6.431997414670041e-06,11.244509516837482,326.0498822989007,458.50764698282904,48.48,2.75,2.59,4.29,9.41,0.26,0.0,65536.0,20.0
64,4,24,24,4,1,1,1,1,0,0,0.011492,0.011492,0.011378,NOT SUPPORT!,0.044487,0.038343,NOT SUPPORT!,NOT SUPPORT!,2,2,1,7.296002318245464e-06,11.245119305856832,646.7366366098857,909.4733952326517,63.71,8.47,5.32,12.1,18.91,0.52,0.0,147456.0,20.0
64,4,32,32,4,1,1,1,1,0,0,0.011947,0.012288,0.011833,NOT SUPPORT!,0.043804,0.041870,NOT SUPPORT!,NOT SUPPORT!,2,2,1,9.791997367687769e-06,11.248626876601977,856.6799688571446,1204.7062062053596,83.76,12.95,7.08,15.64,24.33,0.69,0.0,262144.0,20.0
64,4,48,48,4,1,1,1,1,0,0,0.015246,0.015815,0.015132,NOT SUPPORT!,0.078393,0.061554,NOT SUPPORT!,NOT SUPPORT!,2,2,1,1.4367997993641942e-05,11.248779429315395,1313.6393816558298,1847.3053804535102,85.09,20.42,11.04,23.15,36.54,1.07,0.0,589824.0,20.0
64,4,64,64,4,1,1,1,1,0,0,0.019456,0.020252,0.019570,NOT SUPPORT!,0.060302,0.065650,NOT SUPPORT!,NOT SUPPORT!,0,0,1,3.2e-05,26.37339029600244,1179.648,3457.024,32.86,25.65,23.73,31.2,60.71,18.72,1015.0,524288.0,80.0
64,4,97,97,4,1,1,1,1,0,0,0.033451,0.033564,0.032996,NOT SUPPORT!,0.163271,0.170325,NOT SUPPORT!,NOT SUPPORT!,2,2,1,4.1951998375682153e-05,11.247161015260788,1837.302893410657,2583.7071938587364,89.17,27.3,15.5,32.1,48.47,1.46,0.0,2409472.0,20.0
64,4,256,256,4,1,1,1,1,0,0,0.370119,0.359538,0.235975,NOT SUPPORT!,0.565362,0.708267,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.000266655999354,6.183140567949405,2013.346458735681,2831.268457597051,88.91,34.32,16.52,36.39,52.43,1.59,0.0,16777216.0,20.0
64,4,384,384,4,1,1,1,1,0,0,0.933888,0.904761,0.552846,NOT SUPPORT!,NOT SUPPORT!,2.295694,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0005518080009644,5.852899538243738,2189.093941894351,3078.413355788931,87.62,37.68,18.09,39.31,56.79,1.72,0.0,37748736.0,20.0
64,4,512,512,4,1,1,1,1,0,0,1.754453,1.576960,0.962788,NOT SUPPORT!,NOT SUPPORT!,3.170531,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0009687999974303,5.74891060968576,2216.642912568236,3117.154095799082,87.26,38.44,18.37,39.79,57.41,1.74,0.0,67108864.0,20.0
64,4,640,640,4,1,1,1,1,0,0,2.734080,2.436893,1.490489,NOT SUPPORT!,NOT SUPPORT!,5.805284,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0015004800016065,5.700845708955311,2236.246532048058,3144.7216856925816,87.48,38.9,18.54,40.24,57.85,1.75,0.0,104857600.0,20.0
64,4,768,768,4,1,1,1,1,0,0,3.922830,3.493319,2.144597,NOT SUPPORT!,NOT SUPPORT!,5.968327,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0021623040028866,5.676993072108738,2234.5785798618813,3142.3761279307705,87.6,38.99,18.55,40.17,57.85,1.75,0.0,150994944.0,20.0
64,4,896,896,4,1,1,1,1,0,0,5.348352,4.741234,2.723727,NOT SUPPORT!,NOT SUPPORT!,8.984803,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0029672960025656,5.621677775792022,2216.3844342841576,3116.7906107120966,87.41,38.92,18.38,40.39,57.33,1.74,0.0,205520896.0,20.0
64,4,1024,1024,4,1,1,1,1,0,0,6.978333,6.169941,3.915321,NOT SUPPORT!,NOT SUPPORT!,10.450375,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0039538239958301,5.261515997356192,2172.563725916827,3055.167739570538,87.39,39.58,17.94,43.56,56.17,1.7,0.0,268435456.0,20.0
64,4,2048,2048,4,1,1,1,1,0,0,23.098824,20.289650,17.863792,NOT SUPPORT!,NOT SUPPORT!,41.805481,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.020283295996795,2.2506307238623133,1693.9918627342047,2382.1760569699754,88.83,51.92,13.73,53.07,43.8,1.33,0.0,1073741824.0,20.0
64,8,1,1,8,1,1,1,1,0,0,0.013540,0.012971,0.017522,NOT SUPPORT!,0.032996,0.036068,NOT SUPPORT!,NOT SUPPORT!,1,1,1,6.304000389504469e-06,20.31578947368421,2.2741115346166554,7.8375629675181155,3.06,1.03,0.1,1.03,0.11,0.04,0.0,128.0,64.0
64,8,2,2,8,1,1,1,1,0,0,0.012971,0.013426,0.017522,NOT SUPPORT!,0.032427,0.035726,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.46400436552604e-06,20.895522388059703,6.336629383861296,27.72275355439317,3.06,1.24,0.41,1.24,0.45,0.17,0.0,512.0,80.0
64,8,4,4,8,1,1,1,1,0,0,0.013540,0.013767,0.012857,NOT SUPPORT!,0.033337,0.034816,NOT SUPPORT!,NOT SUPPORT!,2,2,1,1.1455996923539302e-05,4.184615384615385,0.0,12.156427845563243,48.06,0.53,0.34,0.53,2.36,0.02,0.0,8192.0,46.0
