Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
130,2769024.0,8.04,3.32,42656.0,25724416.0,8.04,6181952.0,4.68,47125.7,1104784876.77,0.0,0.0,0.0,0.0,1000448.0,1383424.0,0.0,0.0,0.0,0.0,20.34
131,423867520.0,45.64,39.9,519264.0,3514080224.0,45.64,854176032.0,46.23,601246.76,1157882617.05,0.0,0.0,0.0,0.0,114245632.0,28098560.0,0.0,0.0,0.0,0.0,66.28
132,6070400.0,29.52,29.52,11264.0,6304736.0,7.79,12920992.0,30.59,11513.37,1022138704.76,0.0,0.0,0.0,0.0,2304000.0,0.0,3072.0,0.0,0.0,0.0,14.37
133,1605760.0,8.92,8.92,10528.0,2222016.0,8.62,4024480.0,11.23,10085.83,958000886.52,0.0,0.0,0.0,0.0,2498560.0,0.0,8192.0,0.0,0.0,0.0,36.17
134,18874496.0,50.44,50.44,19712.0,18892768.0,14.02,38634784.0,48.98,20998.24,1065251660.95,0.0,0.0,0.0,0.0,7354368.0,0.0,576.0,0.0,0.0,0.0,25.11
135,123008.0,2.25,0.99,7360.0,128000.0,1.54,778080.0,2.25,7069.24,960494665.86,0.0,0.0,0.0,0.0,71680.0,0.0,160.0,0.0,0.0,0.0,1.04
136,33032448.0,60.73,60.73,28800.0,33046496.0,15.6,66960640.0,57.73,30632.78,1063638117.28,0.0,0.0,0.0,0.0,10600448.0,0.0,512.0,0.0,0.0,0.0,17.82
137,2359424.0,6.72,5.61,21536.0,5308416.0,6.72,6341824.0,9.76,23627.24,1097104417.75,0.0,0.0,0.0,0.0,2267136.0,11741184.0,0.0,0.0,0.0,0.0,63.93
138,2359424.0,4.37,4.25,28320.0,18911232.0,4.37,5039520.0,4.77,31405.39,1108947347.77,0.0,0.0,0.0,0.0,632672.0,299936.0,0.0,0.0,0.0,0.0,1.78
139,16515200.0,52.84,52.84,17344.0,16523264.0,13.67,34085760.0,51.66,17475.41,1007576534.1,0.0,0.0,0.0,0.0,5300224.0,0.0,256.0,0.0,0.0,0.0,15.9
140,1505536.0,8.52,8.52,10336.0,2081472.0,8.21,3837184.0,10.84,9910.11,958795579.64,0.0,0.0,0.0,0.0,2342400.0,0.0,7680.0,0.0,0.0,0.0,34.73
141,26214784.0,59.75,59.75,22656.0,26222592.0,15.39,53487328.0,57.27,24642.3,1087671976.35,0.0,0.0,0.0,0.0,7725056.0,0.0,256.0,0.0,0.0,0.0,13.06
142,14156032.0,48.54,48.54,15904.0,14163968.0,12.57,29361728.0,47.58,16293.15,1024468570.68,0.0,0.0,0.0,0.0,4710400.0,0.0,256.0,0.0,0.0,0.0,16.4
143,3145856.0,18.95,18.95,9376.0,3194880.0,4.86,6921952.0,19.94,9372.44,999620781.19,0.0,0.0,0.0,0.0,1179648.0,0.0,1536.0,0.0,0.0,0.0,8.28
144,2359424.0,1.37,1.37,85504.0,5308416.0,0.49,6113760.0,1.89,97335.69,1138375809.15,0.0,0.0,0.0,0.0,1203776.0,4297664.0,0.0,0.0,0.0,0.0,2.42
145,129152.0,2.38,1.07,7232.0,174080.0,1.66,791360.0,2.38,6811.59,941868444.77,0.0,0.0,0.0,0.0,163328.0,0.0,512.0,0.0,0.0,0.0,3.49
146,16777344.0,17.8,8.2,101312.0,142869600.0,17.8,34391488.0,9.77,115787.65,1142881871.33,0.0,0.0,0.0,0.0,4658176.0,1383424.0,0.0,0.0,0.0,0.0,23.84
147,16777344.0,51.78,23.62,35744.0,147211552.0,51.78,34537088.0,27.05,40054.61,1120596774.59,0.0,0.0,0.0,0.0,4846592.0,1756160.0,0.0,0.0,0.0,0.0,37.66
148,1572992.0,8.7,3.86,21056.0,10801536.0,8.7,3848256.0,6.02,22991.2,1091907470.73,0.0,0.0,0.0,0.0,794112.0,2075136.0,0.0,0.0,0.0,0.0,38.79
149,28313600.0,52.95,52.95,27712.0,28315648.0,13.6,57536736.0,52.99,30125.91,1087106935.89,0.0,0.0,0.0,0.0,7663616.0,0.0,128.0,0.0,0.0,0.0,7.65
150,1048704.0,8.38,3.68,15360.0,9793472.0,8.38,2532576.0,4.92,16076.5,1046647135.42,0.0,0.0,0.0,0.0,412160.0,691712.0,0.0,0.0,0.0,0.0,23.82
151,4817024.0,22.92,22.92,11968.0,4751296.0,5.89,10357920.0,24.88,11838.24,989157815.9,0.0,0.0,0.0,0.0,1597440.0,0.0,1536.0,0.0,0.0,0.0,7.48
152,3145856.0,11.38,5.04,32224.0,25363232.0,11.38,6951456.0,7.24,35317.33,1095994703.74,0.0,0.0,0.0,0.0,1124352.0,2365440.0,0.0,0.0,0.0,0.0,38.78
153,268543744.0,81.42,19.87,663392.0,2148006528.0,81.42,538370496.0,24.26,765071.5,1153272122.67,0.0,0.0,0.0,0.0,68009984.0,6307840.0,0.0,0.0,0.0,0.0,52.79
154,1106048.0,1.48,1.48,38976.0,1107200.0,0.38,2729088.0,1.62,42461.63,1089430152.65,0.0,0.0,0.0,0.0,288000.0,0.0,40.0,0.0,0.0,0.0,0.16
155,143488.0,2.63,1.19,7264.0,196608.0,1.68,865728.0,2.63,6778.09,933107460.43,0.0,0.0,0.0,0.0,166912.0,0.0,512.0,0.0,0.0,0.0,3.59
156,8388736.0,13.6,5.19,80064.0,75753600.0,13.6,21503552.0,8.74,91398.85,1141572390.24,0.0,0.0,0.0,0.0,7290880.0,28098560.0,0.0,0.0,0.0,0.0,72.35
157,368768.0,3.58,2.8,7616.0,428864.0,2.68,1293760.0,3.58,7439.0,976759453.78,0.0,0.0,0.0,0.0,583680.0,0.0,1920.0,0.0,0.0,0.0,11.94
158,4194432.0,8.32,8.32,26208.0,4202496.0,2.13,8954112.0,9.08,28537.59,1088888606.25,0.0,0.0,0.0,0.0,1114112.0,0.0,256.0,0.0,0.0,0.0,1.03
159,1204352.0,7.75,7.75,8864.0,1667584.0,7.39,3191584.0,9.83,8751.67,987327015.64,0.0,0.0,0.0,0.0,1873920.0,0.0,6144.0,0.0,0.0,0.0,31.95
160,884992.0,5.86,5.86,8704.0,1147872.0,4.02,2409184.0,7.71,8524.72,979402828.84,0.0,0.0,0.0,0.0,745472.0,0.0,2048.0,0.0,0.0,0.0,13.11
161,3297408.0,15.36,15.36,11808.0,3391616.0,3.95,7242880.0,17.16,12072.65,1022412614.17,0.0,0.0,0.0,0.0,1086464.0,0.0,1024.0,0.0,0.0,0.0,5.35
162,3539072.0,12.22,12.22,15360.0,3555328.0,3.13,7669440.0,13.37,16362.85,1065289834.1,0.0,0.0,0.0,0.0,1015808.0,0.0,512.0,0.0,0.0,0.0,2.31
163,33556480.0,53.62,53.62,32096.0,33619968.0,13.75,68337888.0,53.81,35303.41,1099931686.42,0.0,0.0,0.0,0.0,8912896.0,0.0,2048.0,0.0,0.0,0.0,6.68
164,7225472.0,16.58,16.58,22528.0,7243776.0,4.24,15135424.0,17.91,24657.31,1094518590.86,0.0,0.0,0.0,0.0,1953792.0,0.0,576.0,0.0,0.0,0.0,2.32
165,786560.0,5.79,5.53,8288.0,916800.0,5.35,2250880.0,7.46,7985.85,963543901.04,0.0,0.0,0.0,0.0,1245184.0,0.0,4096.0,0.0,0.0,0.0,23.51
166,1106048.0,3.15,3.15,18944.0,4408800.0,2.22,2580352.0,3.95,19873.74,1049078375.25,0.0,0.0,0.0,0.0,404800.0,898240.0,0.0,0.0,0.0,0.0,5.51
167,393344.0,3.9,3.0,7808.0,457856.0,2.87,1405888.0,4.5,7411.57,949228236.95,0.0,0.0,0.0,0.0,622592.0,0.0,2048.0,0.0,0.0,0.0,12.78
168,6963456.0,15.36,15.36,23744.0,6773056.0,3.92,14560224.0,16.93,25672.22,1081208820.01,0.0,0.0,0.0,0.0,1871872.0,0.0,512.0,0.0,0.0,0.0,2.07
169,393472.0,3.71,3.02,7424.0,409600.0,1.61,1330592.0,3.71,7374.24,993297513.57,0.0,0.0,0.0,0.0,229376.0,0.0,512.0,0.0,0.0,0.0,3.2
170,137203328.0,39.8,16.7,405888.0,1116439712.0,39.8,276631680.0,20.53,465184.07,1146089744.15,0.0,0.0,0.0,0.0,35934208.0,5533696.0,0.0,0.0,0.0,0.0,38.1
171,6594688.0,14.96,14.96,23232.0,6638976.0,3.83,13814912.0,16.48,24948.87,1073901100.65,0.0,0.0,0.0,0.0,1779712.0,0.0,512.0,0.0,0.0,0.0,2.09
172,28312960.0,57.48,57.48,26368.0,28328000.0,14.79,57727520.0,54.98,27698.8,1050470126.53,0.0,0.0,0.0,0.0,9420800.0,0.0,512.0,0.0,0.0,0.0,18.94
173,1376384.0,0.84,0.56,121600.0,2752512.0,0.43,5675520.0,1.21,139155.74,1144372867.93,0.0,0.0,0.0,0.0,1768640.0,9972032.0,0.0,0.0,0.0,0.0,2.76
174,163968.0,1.21,0.9,9952.0,368640.0,1.21,601312.0,1.4,10308.67,1035838692.39,0.0,0.0,0.0,0.0,120960.0,560000.0,0.0,0.0,0.0,0.0,4.92
175,3211392.0,13.07,13.07,13920.0,4447232.0,12.87,7527680.0,16.84,13723.07,985853022.56,0.0,0.0,0.0,0.0,4997120.0,0.0,16384.0,0.0,0.0,0.0,50.36
176,268465792.0,90.52,90.52,148416.0,268566112.0,23.15,538122208.0,84.79,167792.48,1130555206.19,0.0,0.0,0.0,0.0,85852160.0,0.0,4096.0,0.0,0.0,0.0,24.69
