Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
128,1,3072,3072,1,3,3,1,1,0,0,15.082382,15.082496,15.065770,NOT SUPPORT!,NOT SUPPORT!,171.048965,309.735229,NOT SUPPORT!,2,6,1,0.0162200319993421,0.0,0.0,0.0,10857484800.0,1206387200.0,0.0,0.0,0.0,0.0,0.0,9645101056.0,32658084224.0,67095255712.0,43.39,43.39,43.1,76.47,75399216.0,3.73,86.21,0.0,22921356800.0,0.0,22921356800.0,2.3764765829738135,0.7018585855429754,0.3416241067533559,1413.1511455051202,0.0
128,2,4,4,2,3,3,1,1,0,0,0.011036,0.011719,0.010809,NOT SUPPORT!,0.031972,0.063829,0.022983,0.021049,2,7,1,7.743998935836261e-06,0.0,0.0,0.0,18432.0,1024.0,0.0,1024.0,0.0,0.0,32.0,16640.0,167776.0,139264.0,0.43,0.35,0.43,0.27,32.0,0.0,45.91,0.0,39936.0,16384.0,56320.0,3.3846153846153846,0.3356856761396147,0.40441176470588236,7.272728272129869,2.115702770074144
128,2,7,7,2,3,3,1,1,0,0,0.010923,0.010809,0.010581,NOT SUPPORT!,0.031972,0.063943,0.023324,0.022756,2,7,1,6.880004076197801e-06,0.0,0.0,0.0,115200.0,6400.0,0.0,6400.0,0.0,0.0,200.0,50432.0,274304.0,955360.0,1.53,1.53,0.8,1.84,224.0,0.03,44.13,0.0,249600.0,102400.0,352000.0,6.979695431472082,1.2832477834811014,0.36844749623178696,51.16276038524253,14.883712112070555
128,2,8,8,2,3,3,1,1,0,0,0.010581,0.010923,0.010695,NOT SUPPORT!,0.031858,0.065308,0.023780,0.022983,0,7,1,7.1040014123692e-06,0.0,0.0,0.0,165888.0,9216.0,0.0,9216.0,0.0,0.0,288.0,65792.0,326208.0,1325728.0,2.07,2.07,1.12,2.65,288.0,0.04,46.49,0.0,359424.0,147456.0,506880.0,7.7042801556420235,1.553855208946439,0.38234087233580344,71.3513371657614,20.75675263003968
128,2,15,15,2,3,3,1,1,0,0,0.011036,0.010923,0.011036,NOT SUPPORT!,0.032882,0.067698,0.033564,0.024348,1,7,1,7.104001366256588e-06,0.0,0.0,0.0,778752.0,43264.0,0.0,43264.0,0.0,0.0,1352.0,230784.0,864864.0,5418528.0,9.49,9.49,3.64,12.05,1376.0,0.17,46.35,0.0,1687296.0,692224.0,2379520.0,10.31059345535219,2.751322751322751,0.4391450962327776,334.95489053570867,97.44142270129707
128,2,16,16,2,3,3,1,1,0,0,0.010923,0.011150,0.010695,NOT SUPPORT!,0.033451,0.065536,0.034247,0.024690,2,7,1,6.976001991219181e-06,0.0,0.0,0.0,903168.0,50176.0,0.0,50176.0,0.0,0.0,1568.0,262400.0,1011776.0,6033152.0,10.59,10.59,4.57,13.81,1568.0,0.19,46.86,0.0,1956864.0,802816.0,2759680.0,10.517073170731708,2.727560250490227,0.45741927271184285,395.5962173568268,115.08253595834965
128,2,24,24,2,3,3,1,1,0,0,0.013540,0.013995,0.013198,NOT SUPPORT!,0.050176,0.065877,0.048242,0.026510,2,7,1,1.0432001730449008e-05,0.0,0.0,0.0,2230272.0,123904.0,0.0,123904.0,0.0,0.0,3872.0,590080.0,2402432.0,14295424.0,18.26,18.26,7.63,23.76,3872.0,0.32,46.84,0.0,4832256.0,1982464.0,6814720.0,11.54880694143167,2.836592253183441,0.47670639219934996,653.2514253816831,190.03677829285326
128,2,32,32,2,3,3,1,1,0,0,0.016043,0.016270,0.015360,NOT SUPPORT!,0.049835,0.065536,0.055751,0.030720,2,7,1,1.324800033947186e-05,0.0,0.0,0.0,4147200.0,230400.0,0.0,230400.0,0.0,0.0,7200.0,1048832.0,4680512.0,25944416.0,26.14,26.14,10.19,33.43,7200.0,0.46,46.18,0.0,8985600.0,3686400.0,12672000.0,12.082011227727605,2.7073961139294163,0.48842880101830005,956.5217146201535,278.2608624349538
128,2,48,48,2,3,3,1,1,0,0,0.020708,0.020821,0.020252,NOT SUPPORT!,0.103879,0.166457,0.098076,0.043236,2,7,1,2.0384000337159594e-05,0.0,0.0,0.0,9750528.0,541696.0,0.0,541696.0,0.0,0.0,16928.0,2359552.0,10967520.0,60166496.0,35.74,35.74,15.43,50.04,16928.0,0.7,45.81,0.0,21126144.0,8667136.0,29793280.0,12.626668113268959,2.716501086845522,0.49518057358700096,1461.6012317114955,425.1930855887986
128,2,64,64,2,3,3,1,1,0,0,0.030037,0.030265,0.030492,NOT SUPPORT!,0.105586,0.367844,0.157468,0.062350,0,7,1,3.257599834945102e-05,0.0,0.0,0.0,17713152.0,984064.0,0.0,984064.0,0.0,0.0,30752.0,4194688.0,19315904.0,108594880.0,37.15,37.15,16.44,55.43,30752.0,0.78,46.23,0.0,38378496.0,15745024.0,54123520.0,12.902871441213268,2.802018481765078,0.4983984511976992,1661.4539152232032,483.3320480649318
