Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,gemmAlgoMin,kernel_nums,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
128,1,1024,1024,1,1,1,1,1,0,0,1.151545,1.151431,1.151204,NOT SUPPORT!,NOT SUPPORT!,5.869112,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0011094399971089,0.0,0.0,0.0,134217728.0,134217728.0,0.0,134217728.0,0.0,0.0,4194304.0,1059337728.0,2137442976.0,1207959552.0,46.84,15.7,47.85,64.49,8388608.0,6.07,83.15,0.0,671088640.0,2147483648.0,2818572288.0,2.6606928210905747,1.3186654893945577,2.3333333333333335,2540.536032002581,1935.6465005733953
128,1,2048,2048,1,1,1,1,1,0,0,4.040931,3.965269,3.966521,NOT SUPPORT!,NOT SUPPORT!,20.268486,NOT SUPPORT!,NOT SUPPORT!,1,1,1,0.004428767997128,0.0,0.0,0.0,536870912.0,536870912.0,0.0,536870912.0,0.0,0.0,16777216.0,4280446080.0,8579461376.0,4831838208.0,47.43,15.72,48.09,64.61,33554432.0,6.08,83.14,0.0,2684354560.0,8589934592.0,11274289152.0,2.6339051914888274,1.314102209672329,2.3333333333333335,2545.694233545589,1939.5765588918778
128,1,3072,3072,1,1,1,1,1,0,0,8.677944,8.683748,8.684772,NOT SUPPORT!,NOT SUPPORT!,45.027786,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0099573760012467,0.0,0.0,0.0,1207959552.0,1207959552.0,0.0,1207959552.0,0.0,0.0,37748736.0,9649161984.0,19319840672.0,10871635968.0,47.53,15.72,48.11,64.62,75497472.0,6.08,83.14,0.0,6039797760.0,19327352832.0,25367150592.0,2.6289485692190864,1.3130103411651985,2.3333333333333335,2547.5738376078134,1941.0086381773817
128,2,1,1,2,1,1,1,1,0,0,0.008875,0.008875,0.008875,NOT SUPPORT!,0.033792,0.120604,NOT SUPPORT!,NOT SUPPORT!,0,0,1,5.887998442725764e-06,0.0,0.0,0.0,8192.0,256.0,0.0,1024.0,0.0,0.0,32.0,1280.0,303584.0,10368.0,1.12,0.1,1.12,0.18,272.0,0.04,3.12,0.0,18688.0,16384.0,35072.0,27.4,0.11552650996099927,3.382716049382716,5.956523314527902,2.7826094316042753
128,2,2,2,2,1,1,1,1,0,0,0.009102,0.009330,0.008988,NOT SUPPORT!,0.033564,0.032882,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.222400002241011e-05,0.0,0.0,0.0,131072.0,1024.0,0.0,2560.0,0.0,0.0,128.0,8704.0,599680.0,49408.0,1.92,0.66,1.92,1.94,3840.0,0.52,35.96,0.0,268288.0,65536.0,333824.0,38.35294117647059,0.5566702241195304,6.756476683937824,27.308900473495136,5.361256534673892
128,2,4,4,2,1,1,1,1,0,0,0.009785,0.009785,0.009444,NOT SUPPORT!,0.033564,0.033337,NOT SUPPORT!,NOT SUPPORT!,2,2,1,5.600001064368913e-06,0.0,0.0,0.0,8192.0,4096.0,0.0,8192.0,0.0,0.0,256.0,16384.0,187744.0,40960.0,0.66,0.17,0.66,0.61,128.0,0.02,47.78,0.0,36864.0,131072.0,167936.0,10.25,0.8944946309868758,4.1,29.988565728768375,23.405709837087514
128,2,7,7,2,1,1,1,1,0,0,0.010126,0.010126,0.009785,NOT SUPPORT!,0.033792,0.035499,NOT SUPPORT!,NOT SUPPORT!,2,2,2,1.3408002554072772e-05,0.0,0.0,0.0,1605632.0,12544.0,0.0,31360.0,0.0,0.0,1568.0,100864.0,1205088.0,407584.0,7.23,6.5,4.0,21.78,46856.0,5.9,35.83,0.0,3286528.0,802816.0,4089344.0,40.54314720812183,3.3933986563636847,10.033131820679909,304.99278199778036,59.87588358238634
128,2,8,8,2,1,1,1,1,0,0,0.009557,0.010012,0.009785,NOT SUPPORT!,0.033906,0.036181,NOT SUPPORT!,NOT SUPPORT!,0,0,1,6.14399897881061e-06,0.0,0.0,0.0,524288.0,16384.0,0.0,73728.0,0.0,0.0,2304.0,65920.0,858400.0,335872.0,2.87,2.87,3.37,9.6,17408.0,2.41,7.02,0.0,1212416.0,1179648.0,2392064.0,36.2873786407767,2.7866542404473438,7.121951219512195,389.3333980441301,192.00003191217377
128,2,15,15,2,1,1,1,1,0,0,0.010126,0.010695,0.010126,NOT SUPPORT!,0.037319,0.040277,NOT SUPPORT!,NOT SUPPORT!,0,0,1,7.616001020444897e-06,0.0,0.0,0.0,1843200.0,57600.0,0.0,230400.0,0.0,0.0,7200.0,230656.0,2589408.0,1359616.0,8.57,8.18,11.65,26.76,61200.0,6.83,21.72,0.0,4204800.0,3686400.0,7891200.0,34.21198668146504,3.0474919363808253,5.803991715307852,1036.134314952997,484.03354859118116
128,2,16,16,2,1,1,1,1,0,0,0.010240,0.010354,0.009557,NOT SUPPORT!,0.036864,0.040277,NOT SUPPORT!,NOT SUPPORT!,2,2,1,5.855995678729245e-06,0.0,0.0,0.0,131072.0,65536.0,0.0,131072.0,0.0,0.0,4096.0,262400.0,1005280.0,917504.0,3.44,1.92,5.64,9.47,2048.0,0.31,47.65,0.0,589824.0,2097152.0,2686976.0,10.24,2.6728632818717175,2.9285714285714284,458.84186864411686,358.1204828441888
128,2,24,24,2,1,1,1,1,0,0,0.011150,0.011378,0.010695,NOT SUPPORT!,0.050972,0.043008,NOT SUPPORT!,NOT SUPPORT!,2,2,1,6.656000366841216e-06,0.0,0.0,0.0,294912.0,147456.0,0.0,294912.0,0.0,0.0,9216.0,590080.0,2510848.0,2064384.0,7.7,3.92,12.1,18.83,4608.0,0.63,63.34,0.0,1327104.0,4718592.0,6045696.0,10.245553145336226,2.407830342577488,2.9285714285714284,908.307642246893,708.9230378512336
128,2,32,32,2,1,1,1,1,0,0,0.011264,0.011719,0.011150,NOT SUPPORT!,0.051314,0.046876,NOT SUPPORT!,NOT SUPPORT!,2,2,1,8.512004682173498e-06,0.0,0.0,0.0,524288.0,262144.0,0.0,524288.0,0.0,0.0,16384.0,1048576.0,4688928.0,3670016.0,11.0,5.46,16.62,25.01,8192.0,0.87,85.46,0.0,2359296.0,8388608.0,10747904.0,10.25,2.292187894546472,2.9285714285714284,1262.6759971724518,985.5032173053281
128,2,48,48,2,1,1,1,1,0,0,0.013198,0.013767,0.013312,NOT SUPPORT!,0.106041,0.074297,NOT SUPPORT!,NOT SUPPORT!,0,0,1,3.0975998361897447e-05,0.0,0.0,0.0,18874368.0,589824.0,0.0,2359296.0,0.0,0.0,73728.0,2359680.0,18680448.0,12091392.0,19.86,19.86,18.57,64.46,629195.0,16.64,32.89,427.0,43057152.0,37748736.0,80805888.0,34.24442636289666,4.3256932596049085,6.682926829268292,2608.6612949785226,1218.6446925447112
128,2,64,64,2,1,1,1,1,0,0,0.016953,0.017294,0.016725,NOT SUPPORT!,0.106837,0.088064,NOT SUPPORT!,NOT SUPPORT!,2,2,1,1.6096002391918908e-05,0.0,0.0,0.0,2097152.0,1048576.0,0.0,2097152.0,0.0,0.0,65536.0,4194560.0,18558560.0,14680064.0,21.85,11.18,31.17,47.14,32768.0,1.74,84.85,0.0,9437184.0,33554432.0,42991616.0,10.249374427830332,2.316538352113526,2.9285714285714284,2670.9499012987344,2084.6438254038903
128,2,96,96,2,1,1,1,1,0,0,0.026055,0.026624,0.026169,NOT SUPPORT!,0.385820,0.198770,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001012480016164,0.0,0.0,0.0,75497472.0,2359296.0,0.0,10616832.0,0.0,0.0,331776.0,9791360.0,72237792.0,48363456.0,24.09,24.09,21.78,77.99,2523828.0,20.15,46.14,2739.0,174587904.0,169869312.0,344457216.0,35.17971109222825,4.768379631536911,7.122262230391476,3402.1137257113564,1677.754714049436
128,2,97,97,2,1,1,1,1,0,0,0.026852,0.027079,0.026965,NOT SUPPORT!,0.386048,0.246101,NOT SUPPORT!,NOT SUPPORT!,0,0,1,0.0001032319961231,0.0,0.0,0.0,77078528.0,2408704.0,0.0,10839168.0,0.0,0.0,338724.0,10294272.0,86434240.0,55995776.0,24.17,24.17,30.7,78.03,2577558.0,20.17,46.18,3156.0,178244096.0,173426688.0,351670784.0,34.16179249975132,4.068651312257735,6.280309143318239,3406.6064515564217,1679.9703048771396
128,2,128,128,2,1,1,1,1,0,0,0.126407,0.126066,0.171804,NOT SUPPORT!,0.391964,0.299804,NOT SUPPORT!,NOT SUPPORT!,1,1,2,0.000211071997722,0.0,0.0,0.0,268435456.0,67108864.0,67108864.0,0.0,0.0,0.0,0.0,19494144.0,62374688.0,42599616.0,51.2,50.53,10.15,70.32000000000001,11136716.0,43.54,36.34,702.0,671088640.0,0.0,671088640.0,34.42514018568858,10.758989928735195,15.753396462540882,3179.4299918641104,0.0
128,2,256,256,2,1,1,1,1,0,0,0.561835,0.570254,0.166571,NOT SUPPORT!,1.519844,1.100004,NOT SUPPORT!,NOT SUPPORT!,2,2,1,0.0001889279964509,0.0,0.0,0.0,33554432.0,16777216.0,0.0,33554432.0,0.0,0.0,1048576.0,120712576.0,354322688.0,234766336.0,33.65,14.14,43.92,59.4,524288.0,2.24,85.32,0.0,150994944.0,536870912.0,687865856.0,5.698377739863657,1.9413542493784648,2.9300020936562214,3640.8889572846742,2841.669430075843
