Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
64,1,3072,3072,1,3,3,1,1,0,0,8.069576,8.061155,8.034305,NOT SUPPORT!,NOT SUPPORT!,162.160080,154.873169,70.030449,2,7,1,0.008113919998104,0.0,0.0,0.0,5428742400.0,603193600.0,0.0,0.0,0.0,0.0,0.0,4816315648.0,16311984640.0,33547804960.0,43.38,43.38,43.11,76.45,37699624.0,3.73,86.21,0.0,32.0,603194368.0,11460678400.0,0.0,11460678400.0,2.3795530105588294,0.7025925203421477,0.34162230326737897,1412.4712103000822,0.0
64,2,4,4,2,3,3,1,1,0,0,0.010012,0.010354,0.009899,NOT SUPPORT!,0.031972,0.051883,0.070656,0.021845,2,7,1,5.535996016093057e-06,0.0,0.0,0.0,9216.0,512.0,0.0,512.0,0.0,0.0,16.0,8320.0,147680.0,69632.0,0.49,0.23,0.49,0.18,32.0,0.0,27.55,0.0,64.0,1024.0,19968.0,8192.0,28160.0,3.3846153846153846,0.19068255687973998,0.40441176470588236,5.08670886289284,1.4797698510233714
64,2,7,7,2,3,3,1,1,0,0,0.011150,0.011264,0.010923,NOT SUPPORT!,0.033109,0.052110,0.024462,0.021845,2,7,1,6.623997782822616e-06,0.0,0.0,0.0,57600.0,3200.0,0.0,3200.0,0.0,0.0,100.0,25344.0,202784.0,477536.0,0.75,0.75,0.54,0.9,128.0,0.02,42.49,0.0,64.0,4096.0,124800.0,51200.0,176000.0,6.944444444444445,0.867918573457472,0.36855860081753,26.57005720267662,7.729471186233198
64,2,8,8,2,3,3,1,1,0,0,0.010923,0.011947,0.011036,NOT SUPPORT!,0.032199,0.051883,0.024007,0.022073,0,7,1,6.752002392898845e-06,0.0,0.0,0.0,82944.0,4608.0,0.0,4608.0,0.0,0.0,144.0,33024.0,220192.0,662944.0,1.05,1.05,0.62,1.36,160.0,0.02,44.01,0.0,64.0,5120.0,179712.0,73728.0,253440.0,7.674418604651163,1.150995494840866,0.3822947337935029,37.535531721159586,10.919427409791878
64,2,15,15,2,3,3,1,1,0,0,0.010923,0.011378,0.011036,NOT SUPPORT!,0.034133,0.052338,0.029241,0.023780,0,7,1,6.6559990165061625e-06,0.0,0.0,0.0,389376.0,21632.0,0.0,21632.0,0.0,0.0,676.0,115456.0,506304.0,2707104.0,4.86,4.86,1.87,6.18,704.0,0.09,46.17,0.0,64.0,22528.0,843648.0,346112.0,1189760.0,10.304878048780488,2.3498925546707117,0.43949549038381974,178.75002641219191,52.000007683546734
64,2,16,16,2,3,3,1,1,0,0,0.011264,0.011492,0.011036,NOT SUPPORT!,0.034475,0.052907,0.029013,0.023666,2,7,1,6.847998636946546e-06,0.0,0.0,0.0,451584.0,25088.0,0.0,25088.0,0.0,0.0,784.0,131456.0,564800.0,3014624.0,5.55,5.55,2.28,7.24,800.0,0.1,46.22,0.0,64.0,25600.0,978432.0,401408.0,1379840.0,10.496592015579358,2.443059490084986,0.45771545638859107,201.49536720925178,58.61683409723689
64,2,24,24,2,3,3,1,1,0,0,0.011150,0.011605,0.011036,NOT SUPPORT!,0.044487,0.053476,0.035385,0.025372,2,7,1,6.623999680550373e-06,0.0,0.0,0.0,1115136.0,61952.0,0.0,61952.0,0.0,0.0,1936.0,295040.0,1259008.0,7151008.0,13.24,13.24,5.5,17.29,1952.0,0.24,46.74,0.0,64.0,62464.0,2416128.0,991232.0,3407360.0,11.54880694143167,2.706384709231395,0.4764866715293844,514.3961600730165,149.64251929396846
64,2,32,32,2,3,3,1,1,0,0,0.013312,0.013426,0.013198,NOT SUPPORT!,0.044032,0.053020,0.039140,0.026965,2,7,1,9.631997273501948e-06,0.0,0.0,0.0,2073600.0,115200.0,0.0,115200.0,0.0,0.0,3600.0,524672.0,2480896.0,12980320.0,18.05,18.05,7.94,23.64,3616.0,0.32,46.56,0.0,64.0,115712.0,4492800.0,1843200.0,6336000.0,12.076116125884361,2.5539160045402953,0.48812355935755053,657.8074951734691,191.36218041410012
64,2,48,48,2,3,3,1,1,0,0,0.015701,0.015929,0.015474,NOT SUPPORT!,0.071339,0.118215,0.060075,0.031630,2,7,1,1.30560029796578e-05,0.0,0.0,0.0,4875264.0,270848.0,0.0,270848.0,0.0,0.0,8464.0,1180032.0,5664768.0,30083008.0,27.42,27.42,12.47,38.76,8480.0,0.54,46.13,0.0,64.0,271360.0,10563072.0,4333568.0,14896640.0,12.623928842607658,2.6296999276934203,0.4951845241007814,1140.9801317608494,331.9214928758835
64,2,64,64,2,3,3,1,1,0,0,0.020139,0.020821,0.020252,NOT SUPPORT!,0.073045,0.247239,0.089429,0.041870,0,7,1,1.9167999014670005e-05,0.0,0.0,0.0,8856576.0,492032.0,0.0,492032.0,0.0,0.0,15376.0,2097408.0,9972672.0,54305888.0,31.44,31.44,13.76,47.14,15392.0,0.66,46.36,0.0,64.0,492544.0,19189248.0,7872512.0,27061760.0,12.902477724887099,2.713591703407071,0.4983209187187953,1411.8197720736835,410.71120642143524
