Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin
64,4,96,96,4,1,1,1,1,0,0,0.032085,0.032768,0.032085,NOT SUPPORT!,0.161337,0.143815,NOT SUPPORT!,NOT SUPPORT!,0
64,4,97,97,4,1,1,1,1,0,0,0.033451,0.033564,0.032996,NOT SUPPORT!,0.163271,0.170325,NOT SUPPORT!,NOT SUPPORT!,2
64,4,128,128,4,1,1,1,1,0,0,0.085561,0.085675,0.116053,NOT SUPPORT!,0.168391,0.202752,NOT SUPPORT!,NOT SUPPORT!,0
64,4,256,256,4,1,1,1,1,0,0,0.370119,0.359538,0.235975,NOT SUPPORT!,0.565362,0.708267,NOT SUPPORT!,NOT SUPPORT!,2
64,4,384,384,4,1,1,1,1,0,0,0.933888,0.904761,0.552846,NOT SUPPORT!,NOT SUPPORT!,2.295694,NOT SUPPORT!,NOT SUPPORT!,2
64,4,512,512,4,1,1,1,1,0,0,1.754453,1.576960,0.962788,NOT SUPPORT!,NOT SUPPORT!,3.170531,NOT SUPPORT!,NOT SUPPORT!,2
64,4,640,640,4,1,1,1,1,0,0,2.734080,2.436893,1.490489,NOT SUPPORT!,NOT SUPPORT!,5.805284,NOT SUPPORT!,NOT SUPPORT!,2
64,4,768,768,4,1,1,1,1,0,0,3.922830,3.493319,2.144597,NOT SUPPORT!,NOT SUPPORT!,5.968327,NOT SUPPORT!,NOT SUPPORT!,2
64,4,896,896,4,1,1,1,1,0,0,5.348352,4.741234,2.723727,NOT SUPPORT!,NOT SUPPORT!,8.984803,NOT SUPPORT!,NOT SUPPORT!,2
64,4,1024,1024,4,1,1,1,1,0,0,6.978333,6.169941,3.915321,NOT SUPPORT!,NOT SUPPORT!,10.450375,NOT SUPPORT!,NOT SUPPORT!,2
64,4,2048,2048,4,1,1,1,1,0,0,23.098824,20.289650,17.863792,NOT SUPPORT!,NOT SUPPORT!,41.805481,NOT SUPPORT!,NOT SUPPORT!,2
64,4,3072,3072,4,1,1,1,1,0,0,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!
64,8,1,1,8,1,1,1,1,0,0,0.013540,0.012971,0.017522,NOT SUPPORT!,0.032996,0.036068,NOT SUPPORT!,NOT SUPPORT!,1
64,8,2,2,8,1,1,1,1,0,0,0.012971,0.013426,0.017522,NOT SUPPORT!,0.032427,0.035726,NOT SUPPORT!,NOT SUPPORT!,0
64,8,4,4,8,1,1,1,1,0,0,0.013540,0.013767,0.012857,NOT SUPPORT!,0.033337,0.034816,NOT SUPPORT!,NOT SUPPORT!,2
64,8,7,7,8,1,1,1,1,0,0,0.013653,0.013767,0.013995,NOT SUPPORT!,0.034702,0.035726,NOT SUPPORT!,NOT SUPPORT!,0
64,8,8,8,8,1,1,1,1,0,0,0.013540,0.013995,0.013198,NOT SUPPORT!,0.034133,0.035954,NOT SUPPORT!,NOT SUPPORT!,2
64,8,15,15,8,1,1,1,1,0,0,0.016156,0.016612,0.016043,NOT SUPPORT!,0.035954,0.036864,NOT SUPPORT!,NOT SUPPORT!,2
64,8,16,16,8,1,1,1,1,0,0,0.015929,0.016384,0.016043,NOT SUPPORT!,0.035271,0.036523,NOT SUPPORT!,NOT SUPPORT!,0
64,8,24,24,8,1,1,1,1,0,0,0.015474,0.015360,0.021390,NOT SUPPORT!,0.043804,0.038571,NOT SUPPORT!,NOT SUPPORT!,1
64,8,32,32,8,1,1,1,1,0,0,0.017749,0.018204,0.025941,NOT SUPPORT!,0.044032,0.042098,NOT SUPPORT!,NOT SUPPORT!,0
64,8,48,48,8,1,1,1,1,0,0,0.024917,0.024804,0.034816,NOT SUPPORT!,0.090795,0.068153,NOT SUPPORT!,NOT SUPPORT!,1
64,8,64,64,8,1,1,1,1,0,0,0.034020,0.033792,0.047445,NOT SUPPORT!,0.092729,0.082148,NOT SUPPORT!,NOT SUPPORT!,1
64,8,96,96,8,1,1,1,1,0,0,0.062464,0.062464,0.095118,NOT SUPPORT!,0.328363,0.161223,NOT SUPPORT!,NOT SUPPORT!,0
64,8,97,97,8,1,1,1,1,0,0,0.065081,0.065308,0.102059,NOT SUPPORT!,0.329842,0.208100,NOT SUPPORT!,NOT SUPPORT!,0
64,8,128,128,8,1,1,1,1,0,0,0.102514,0.102286,0.152007,NOT SUPPORT!,0.343381,0.239616,NOT SUPPORT!,NOT SUPPORT!,1
64,8,256,256,8,1,1,1,1,0,0,0.523036,0.487538,1.327218,NOT SUPPORT!,1.280569,1.111836,NOT SUPPORT!,NOT SUPPORT!,1
64,8,384,384,8,1,1,1,1,0,0,1.157461,1.049486,2.960043,NOT SUPPORT!,NOT SUPPORT!,3.003733,NOT SUPPORT!,NOT SUPPORT!,1
64,8,512,512,8,1,1,1,1,0,0,2.048683,1.831253,5.238215,NOT SUPPORT!,NOT SUPPORT!,4.227414,NOT SUPPORT!,NOT SUPPORT!,1
64,8,640,640,8,1,1,1,1,0,0,3.179179,2.354631,6.788437,NOT SUPPORT!,NOT SUPPORT!,6.572260,NOT SUPPORT!,NOT SUPPORT!,1
64,8,768,768,8,1,1,1,1,0,0,4.581490,4.130816,10.296888,NOT SUPPORT!,NOT SUPPORT!,8.026112,NOT SUPPORT!,NOT SUPPORT!,1
64,8,896,896,8,1,1,1,1,0,0,6.044558,4.608569,15.245769,NOT SUPPORT!,NOT SUPPORT!,11.980345,NOT SUPPORT!,NOT SUPPORT!,1
64,8,1024,1024,8,1,1,1,1,0,0,6.848512,5.919289,21.682404,NOT SUPPORT!,NOT SUPPORT!,14.090467,NOT SUPPORT!,NOT SUPPORT!,1
64,8,2048,2048,8,1,1,1,1,0,0,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!
64,8,3072,3072,8,1,1,1,1,0,0,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!
64,16,1,1,16,1,1,1,1,0,0,0.013995,0.012857,0.018887,NOT SUPPORT!,0.035612,0.036978,NOT SUPPORT!,NOT SUPPORT!,1
64,16,2,2,16,1,1,1,1,0,0,0.013540,0.013084,0.019911,NOT SUPPORT!,0.034816,0.035044,NOT SUPPORT!,NOT SUPPORT!,1
64,16,4,4,16,1,1,1,1,0,0,0.016498,0.035385,0.016156,NOT SUPPORT!,0.034930,0.036295,NOT SUPPORT!,NOT SUPPORT!,2
64,16,7,7,16,1,1,1,1,0,0,0.016612,0.035385,0.016725,NOT SUPPORT!,0.035840,0.037092,NOT SUPPORT!,NOT SUPPORT!,0
64,16,8,8,16,1,1,1,1,0,0,0.017408,0.036409,0.017636,NOT SUPPORT!,0.035271,0.037205,NOT SUPPORT!,NOT SUPPORT!,0
64,16,15,15,16,1,1,1,1,0,0,0.014905,0.014905,0.024235,NOT SUPPORT!,0.038116,0.040391,NOT SUPPORT!,NOT SUPPORT!,0
64,16,16,16,16,1,1,1,1,0,0,0.014677,0.014450,0.023780,NOT SUPPORT!,0.037092,0.040846,NOT SUPPORT!,NOT SUPPORT!,1
64,16,24,24,16,1,1,1,1,0,0,0.018773,0.018887,0.027420,NOT SUPPORT!,0.050404,0.042894,NOT SUPPORT!,NOT SUPPORT!,0
64,16,32,32,16,1,1,1,1,0,0,0.022187,0.021959,0.034361,NOT SUPPORT!,0.050517,0.047900,NOT SUPPORT!,NOT SUPPORT!,1
64,16,48,48,16,1,1,1,1,0,0,0.032427,0.032540,0.051086,NOT SUPPORT!,0.149276,0.096711,NOT SUPPORT!,NOT SUPPORT!,0
64,16,64,64,16,1,1,1,1,0,0,0.049152,0.049607,0.088178,NOT SUPPORT!,0.154852,0.116622,NOT SUPPORT!,NOT SUPPORT!,0
64,16,96,96,16,1,1,1,1,0,0,0.092843,0.092956,0.155648,NOT SUPPORT!,0.671175,0.238933,NOT SUPPORT!,NOT SUPPORT!,0
64,16,97,97,16,1,1,1,1,0,0,0.132665,0.133461,0.208782,NOT SUPPORT!,0.756963,0.397426,NOT SUPPORT!,NOT SUPPORT!,0
