=========batchsize= 64 =======kernelsize= 1 ===========
==================perfrangeabove70=====================
perf occupancy sm l1 l2 sharedmem
9148.6134671557 32.68 72.88 56.86 19.42 47.58
9604.636143816106 34.46 75.83 58.61 19.57 49.54
8678.51294530273 28.13 67.21 56.76 18.66 44.53
8081.558941670655 19.35 61.87 60.21 17.14 40.16
8948.83746570507 28.01 67.98 66.07 18.74 44.13
8499.73022936324 16.84 64.5 56.67 11.76 42.94
9289.280028413234 28.57 69.7 61.38 12.24 46.41
8633.618558770191 16.86 64.77 62.92 14.27 42.48
9309.924487827517 28.53 69.53 67.48 16.21 45.61
8082.846035399997 20.13 60.37 58.85 14.58 39.73
9268.991509603546 22.45 68.96 66.9 15.69 45.39
9348.031924731988 25.89 69.36 67.59 16.9 45.73
9154.416372338854 20.03 62.94 48.31 13.23 38.76
8320.355669418059 11.13 64.36 64.42 17.38 42.48
9736.67772801792 19.05 75.44 73.04 18.91 49.98
9135.14940738312 17.39 70.8 71.06 19.23 46.88
9127.167712563913 21.97 70.8 68.39 18.21 46.93
8599.085021813957 19.03 58.93 45.11 10.53 36.4
8437.647484421777 18.65 57.85 44.84 10.5 35.75
8811.381283279225 24.14 60.32 46.25 10.75 37.33
9600.88049336806 20.24 65.63 50.91 11.89 40.59


==================perfrangeunder20=====================
perf occupancy sm l1 l2 sharedmem


688.7177966346962 12.5 12.25 10.29 7.12 2.94
1077.0879796509735 23.52115942028985 21.9463768115942 15.565362318840576 9.006956521739133 4.990869565217391


1.2561970786660002 23.38 0.09 0.1 0.62 0.01
6.209154121405928 40.27 0.39 0.27 0.62 0.02
8.341456368169355 40.76 0.54 0.37 0.6 0.03
38.68671654013794 44.76 2.3 1.59 1.08 0.1
42.55997995505074 43.9 2.6 1.78 1.15 0.12
110.131696737112 45.01 6.56 4.44 2.66 0.3
142.64152707677735 12.07 6.77 6.07 3.82 5.63
219.43710181295097 12.16 8.99 8.14 5.07 7.52
280.779192846984 12.29 10.7 9.55 6.72 8.8
339.535233757195 12.37 12.04 10.46 7.6 9.6
334.5542474972591 12.36 11.76 10.29 7.66 9.4
362.3869545000201 12.43 12.7 10.78 7.83 9.86
383.3175827172494 12.49 13.18 10.76 8.34 9.8
377.55239047462254 12.5 12.84 10.35 8.2 9.4
370.3495283390865 12.5 12.76 10.23 8.38 9.27
357.6836545609217 12.5 12.25 9.79 7.98 8.84
359.79957023310686 12.5 12.4 9.88 7.91 8.9
349.6438975851595 12.5 12.09 9.62 7.66 8.64
343.2469091133325 12.5 11.93 9.5 7.7 8.5
1411.555359871547 86.14 76.41 43.39 42.98 3.73
1412.4712103000822 86.21 76.45 43.38 43.11 3.73
5.08670886289284 27.55 0.18 0.23 0.49 0.0
26.57005720267662 42.49 0.9 0.75 0.54 0.02
37.53553172115959 44.01 1.36 1.05 0.62 0.02
178.75002641219191 46.17 6.18 4.86 1.87 0.09
201.49536720925175 46.22 7.24 5.55 2.28 0.1
514.3961600730165 46.74 17.29 13.24 5.5 0.24
657.8074951734691 46.56 23.64 18.05 7.94 0.32
1140.9801317608494 46.13 38.76 27.42 12.47 0.54
1411.8197720736837 46.36 47.14 31.44 13.76 0.66
1681.5918895751445 46.65 55.78 35.76 16.22 0.78
1695.5592338379874 46.39 55.42 35.67 15.96 0.78
1866.7663647859863 46.57 60.58 37.03 17.76 0.85
1980.9518297247253 46.44 64.36 37.51 20.5 0.91
1998.5855843462732 46.56 64.66 37.63 21.4 0.91
1984.8074935873783 46.51 64.19 37.11 21.82 0.91
1995.269267613674 46.59 64.43 37.08 22.12 0.91
1992.626348065955 46.55 64.37 36.81 22.88 0.91
1977.1279477905157 46.36 63.91 36.69 24.01 0.9
1950.649234321475 45.81 63.07 36.24 25.12 0.89
1771.2943326127713 45.92 57.15 32.24 30.39 0.81
1781.3124721966294 45.85 57.47 32.41 31.03 0.81
82.8590802235559 3.1 0.77 0.8 0.79 0.49
507.40715751973806 3.09 4.58 3.65 1.51 2.94
702.2915996090795 3.1 6.44 5.02 2.02 4.13
3059.050244541768 9.09 27.4 21.1 7.55 17.72
3465.507580354562 10.72 31.13 23.95 8.23 20.12
113.0946974143917 3.1 0.98 1.08 0.68 0.64
688.7177966346962 3.1 5.8 4.79 2.11 3.78
989.2170336372294 3.1 8.42 6.8 2.85 5.48
127.95186500745196 3.11 1.06 1.25 0.55 0.7
873.2349464535492 3.12 6.95 6.16 2.66 4.6
1237.1435862452145 3.12 10.13 8.78 3.6 6.71
156.62536184822136 3.12 1.21 1.57 0.88 0.78
978.003781632163 3.12 7.62 7.78 4.0 4.94
1447.1110258472097 3.12 11.18 10.98 5.64 7.26
336.4462266241134 3.12 2.57 3.07 1.12 1.71
2183.9998310074893 3.12 16.57 15.4 5.78 11.03
2886.1976549668075 4.12 21.93 19.81 7.38 14.6
330.0772748795871 3.12 2.52 3.2 1.34 1.65
2265.7358176117923 3.12 17.14 17.4 7.12 11.24
2944.7755983338884 4.14 22.01 21.44 8.82 14.44
540.4659700462532 3.12 4.09 5.16 1.92 2.69
3170.1104062687923 4.3 23.81 24.21 9.03 15.67
751.0593480058398 3.12 5.62 7.06 2.49 3.7
1642.214825651172 3.12 12.76 15.55 5.09 8.35
2333.4616842849277 3.12 18.2 22.13 7.07 11.92
2844.9741340388496 3.7 22.05 26.82 8.43 14.45
3558.213256794311 4.6 27.53 33.54 10.45 18.07


==================perfrange60-70=====================
perf occupancy sm l1 l2 sharedmem


12351.42089648692 37.27 84.58 64.29 15.3 52.51
12274.61072625689 36.97303797468353 84.05253164556962 63.96531645569622 15.426075949367087 52.20303797468353


12150.163410553076 36.51 83.55 62.07 15.13 52.29
12323.675416067465 37.03 84.67 62.76 15.42 53.01
12300.08562551458 37.04 84.57 62.64 15.44 52.94
12379.410625073291 37.21 85.04 62.9 15.5 53.24
12437.127858237372 37.38 85.44 63.09 15.58 53.5
12444.193883723929 37.41 85.48 63.1 15.6 53.53
12443.936977743702 37.42 85.49 63.09 15.6 53.53
11941.558979025442 36.55 81.99 62.75 18.1 50.77
12111.111736438515 37.07 83.16 63.5 18.44 51.5
12092.936815486602 37.08 83.04 63.36 18.44 51.43
12168.854673186404 37.24 83.54 63.66 18.53 51.74
12234.706120064177 37.41 83.97 63.88 18.63 52.01
12244.934570617444 37.44 84.03 63.91 18.66 52.05
11756.228203016237 33.99 80.58 61.95 15.3 49.93
12050.06886669229 36.65 82.55 63.17 15.94 51.2
12247.465762554726 37.02 83.84 63.97 16.26 52.02
12351.42089648692 37.28 84.67 64.45 16.47 52.53
12348.85138662697 37.29 84.6 64.38 16.5 52.49
12401.205177168127 37.37 84.97 64.56 16.54 52.73
12229.56253129589 36.2 83.81 64.39 15.24 51.99
12333.786438123872 36.94 84.51 64.62 15.55 52.43
12412.239977508332 37.18 85.02 64.81 15.71 52.77
12441.433347519938 37.36 85.18 64.77 15.79 52.87
12440.955683078872 37.36 85.18 64.77 15.83 52.86
12488.753441295432 37.41 85.46 64.87 15.85 53.05
12514.315996669884 37.47 85.55 64.8 15.87 53.1
12106.890335525455 35.71 82.88 63.64 14.72 51.42
12088.31900668805 36.52 82.72 63.52 14.67 51.35
12340.746539935364 37.07 84.48 64.56 15.17 52.45
12425.643230482608 37.26 85.04 64.79 15.38 52.82
12478.065652671496 37.39 85.38 64.89 15.52 53.03
12480.916537697478 37.39 85.35 64.86 15.55 53.01
12523.501169846164 37.44 85.67 64.99 15.56 53.21
11895.424091904122 36.05 81.49 62.57 14.42 50.54
12198.661702132058 36.71 83.58 64.17 14.77 51.85
12361.465893777107 37.16 84.73 64.73 15.21 52.58
12472.259086633943 37.31 85.14 64.83 15.32 52.84
12385.468411027032 37.41 84.8 64.41 15.38 52.63
12403.625208528802 37.41 84.91 64.49 15.45 52.69
12435.333385235024 37.45 85.05 64.49 15.43 52.79
11840.774031741454 34.58 81.09 62.22 14.26 50.28
12149.338081976735 36.3 83.23 63.88 14.66 51.63
12253.859532568633 36.84 83.94 64.42 14.85 52.08
12291.825206996613 37.21 84.19 64.29 15.05 52.25
12363.439468446184 37.34 84.64 64.42 15.21 52.54
12365.744049299885 37.43 84.61 64.24 15.34 52.51
12362.568064030647 37.43 84.48 64.15 15.36 52.43
12363.321519633928 37.46 84.6 64.1 15.36 52.51
11962.723115385392 34.58 81.94 62.97 14.5 50.81
11802.636032510429 34.98 80.87 62.05 14.19 50.15
12051.324667955929 36.45 82.51 63.33 14.48 51.19
12199.149882626063 36.93 83.56 64.13 14.68 51.85
12306.913736849565 37.25 84.3 64.37 15.06 52.31
12399.81001088862 37.36 84.83 64.56 15.22 52.65
12405.81105991495 37.44 84.93 64.48 15.36 52.71
12409.912000830056 37.44 84.93 64.48 15.4 52.71
12423.727228179909 37.46 84.92 64.35 15.38 52.71
11702.515420680194 35.28 80.08 61.44 14.02 49.69
12191.094919625131 36.58 83.5 64.08 14.66 51.83
12234.612038349946 37.0 83.79 64.29 14.72 52.02
12327.62903754982 37.28 84.38 64.41 15.05 52.39
12396.794621480083 37.38 84.73 64.47 15.19 52.62
12376.57305472174 37.44 84.59 64.21 15.29 52.53
12374.91607083661 37.44 84.58 64.2 15.33 52.52
12382.971124400638 37.47 84.67 64.14 15.32 52.58
11783.891375163936 36.18 80.67 61.98 14.12 50.08
11865.749907579164 36.36 81.3 62.36 14.11 50.47
12295.366714828397 37.04 84.18 64.58 14.63 52.27
12319.594103807349 37.25 84.23 64.61 14.69 52.31
12391.302443243403 37.39 84.74 64.67 15.0 52.63
12443.14946977775 37.44 85.03 64.67 15.12 52.82
12419.919649885172 37.47 84.87 64.39 15.23 52.72
12413.203856225033 37.47 84.84 64.38 15.27 52.7
12112.276667443411 36.84 82.79 63.6 14.39 51.4
12158.612621075334 36.93 83.11 63.75 14.33 51.6
12362.791223515444 37.27 84.46 64.78 14.6 52.45
12395.712090009163 37.37 84.74 65.0 14.68 52.64
12435.755433496985 37.45 84.98 64.85 14.98 52.79
12471.633188910331 37.47 85.21 64.8 15.1 52.94





