=========batchsize= 64 =======kernelsize= 1 ===========
==================perfrangeabove70=====================
perf occupancy sm l1 l2 sharedmem
15195.005012539694 37.16 97.2 39.41 27.62 29.45
15201.76663478655 37.29 97.26 39.61 30.17 29.46
15208.1368788347 37.24 98.58 39.76 28.16 29.52


==================perfrange50-60=====================
perf occupancy sm l1 l2 sharedmem


10847.51508447739 36.144999999999996 81.15 74.66499999999999 35.06 50.58
10861.350641146499 57.805625 91.73906249999999 68.490625 45.8128125 47.496562499999996


11632.38058486571 35.49 78.38 43.58 37.67 34.43
11641.971425580015 78.22 96.82 56.35 66.97 36.57
9883.826111743152 47.21 80.01 76.36 72.07 49.39
10344.671340831062 32.44 71.49000000000001 44.92 30.790000000000003 28.6
10329.015693275696 47.06 82.22 77.53 60.29 52.07
10553.03436349382 48.12 83.71 78.97 61.75 53.01
10925.804168060626 30.77 71.85000000000001 33.970000000000006 22.82 25.23
10661.997036058658 47.72 84.07 78.76 54.47 53.9
10482.032163463286 36.39 74.06 57.96 36.49 44.64
11069.41504527738 30.19 71.57000000000001 31.73 15.55 23.31
10216.13494042762 34.42 70.99 54.27 24.14 43.24
11136.405601910135 131.24 138.39 84.38999999999999 88.12 52.02
10801.27150582829 131.72 134.67 82.42999999999999 91.67 50.41
11186.135676717691 133.11 139.86 85.05 89.84 52.220000000000006
11222.648980457414 134.7 140.2 85.28 90.18 52.39
10191.373881209314 28.77 76.61 70.79 24.78 50.19
10889.98543333484 34.98 81.16 76.05 43.36 53.29
11149.32243001557 35.29 83.08 76.84 33.63 54.52
11210.329026916444 35.9 77.38 58.63 20.75 47.58
9771.847963664037 28.46 73.36 70.71 30.9 48.17
10832.725273087586 30.68 80.61 74.41 25.88 52.93
11476.520382015298 110.58 127.96 80.5 72.53999999999999 52.43
11668.10219630657 133.24 138.20000000000002 84.56 87.84 52.540000000000006
10594.507422619754 31.93 78.91 72.81 24.61 51.9
10711.27393999733 30.83 79.81 76.84 32.31 52.55
10899.32406024723 32.4 81.14 74.92 24.12 53.51
10719.366124372877 31.73 79.74 76.73 31.84 52.55
10862.304895867195 28.42 73.7 56.32 13.14 47.91
10807.509641255978 58.620000000000005 90.77 64.93 32.31 49.29
11635.951356288127 85.87 115.5 74.98 60.86 50.71
10513.12011594218 55.36 81.94999999999999 61.47 24.39 47.94
