,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
23,2.441599716494165e-05,0.0,0.0,0.0,63616.0,0.0,140160.0,0.0,0.0,0.0,0.0,2.19,2.19,1.22,524416.0,1255136.0,4198400.0,2.18,2176.0,0.07,14.78,0.0,32.0,65536.0,267392.0,0.0,267392.0,0.5098852819135953,0.2130382683629503,0.0636890243902439,10.199387073535366,0.0
24,2.454400364187801e-05,0.0,0.0,0.0,85792.0,0.0,160224.0,0.0,0.0,0.0,0.0,1.39,1.39,1.27,524544.0,1269376.0,4742592.0,2.67,4384.0,0.15,17.1,0.0,32.0,65536.0,331808.0,0.0,331808.0,0.6325646656905808,0.26139457497226987,0.06996342928086582,12.590459378467061,0.0
25,2.0576000322361072e-05,0.0,0.0,0.0,109760.0,0.0,163648.0,0.0,0.0,0.0,0.0,2.65,2.65,1.52,524416.0,1271648.0,4744192.0,3.22,2240.0,0.09,19.46,0.0,32.0,65536.0,383168.0,0.0,383168.0,0.7306565779838906,0.3013160874707466,0.0807657025685301,17.343166926492117,0.0
26,1.7183996326127874e-05,0.0,0.0,0.0,135520.0,0.0,176160.0,0.0,0.0,0.0,0.0,1.56,1.52,1.91,524544.0,1292288.0,5030176.0,3.54,4512.0,0.22,22.12,0.0,32.0,65536.0,447200.0,0.0,447200.0,0.8525500244021474,0.3460528922345483,0.08890344989916854,24.236938105880665,0.0
27,1.28959979714358e-05,0.0,0.0,0.0,163072.0,0.0,154368.0,0.0,0.0,0.0,0.0,2.32,2.32,2.55,524544.0,1284224.0,4202496.0,3.84,2304.0,0.15,24.35,0.0,32.0,65536.0,480512.0,0.0,480512.0,0.9160566129819424,0.37416525465962325,0.11433966861598441,34.701593003104996,0.0
28,8.575995600337963e-06,0.0,0.0,0.0,448000.0,0.0,195072.0,0.0,0.0,0.0,0.0,3.16,1.93,3.51,524416.0,1281088.0,2129920.0,6.65,2560.0,0.25,19.84,0.0,32.0,65536.0,1091072.0,0.0,1091072.0,2.080546741518184,0.8516760753359645,0.5122596153846154,118.48653281618,0.0
29,6.816003278686044e-06,0.0,0.0,0.0,1361920.0,0.0,325632.0,0.0,0.0,0.0,0.0,4.55,1.92,6.07,524544.0,1529824.0,1179648.0,12.12,5120.0,0.68,16.61,0.0,32.0,65536.0,3049472.0,0.0,3049472.0,5.813567593948267,1.9933482544397263,2.5850694444444446,416.67264497051445,0.0
30,9.823997592028775e-06,0.0,0.0,0.0,0.0,32.0,447520.0,50224.0,0.0,0.0,1592.0,6.45,1.85,7.63,1204480.0,3000064.0,1231392.0,3.27,8864.0,0.78,24.67,0.0,32.0,16384.0,548000.0,815104.0,1363104.0,1.1316950053134962,0.4543583070227835,1.1069618772900913,129.22331411997956,77.27249001723406
31,0.000190047996119,0.0,0.0,0.0,24640.0,0.0,310848.0,0.0,0.0,0.0,0.0,0.72,0.72,0.42,1204480.0,2642592.0,9666944.0,0.88,2112.0,0.01,6.63,0.0,32.0,65536.0,360128.0,0.0,360128.0,0.298990435706695,0.13627832067909082,0.037253551898097266,1.7647928049770791,0.0
32,0.0001015680026148,0.0,0.0,0.0,43232.0,0.0,319808.0,0.0,0.0,0.0,0.0,2.54,2.54,0.79,1204480.0,2627168.0,10033344.0,1.26,2144.0,0.02,9.97,0.0,32.0,65536.0,406272.0,0.0,406272.0,0.3373007438894793,0.15464256568289503,0.04049218286545343,3.7252902025568178,0.0
