Metric Name,Achieved Occupancy,Registers Per Thread,Threads,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
16,23.33,38.0,262144.0,3346304.0,4.13,0.0,8640.0,0.17,21666432.0,3.14,3963424.0,3.33,45947.02,1179822784.47,0.0,0.0,0.0,0.0,678976.0,31360.0,0.0,0.0,0.0,0.0,5.1
17,26.35,38.0,262144.0,4042368.0,6.22,0.0,8704.0,0.22,22091360.0,3.05,3933440.0,4.08,36803.63,1219632477.12,0.0,0.0,0.0,0.0,692224.0,40960.0,0.0,0.0,0.0,0.0,5.62
18,26.12,38.0,262144.0,2408832.0,9.0,0.0,9216.0,0.56,19704768.0,4.68,4140256.0,9.66,15121.39,1111866830.07,0.0,0.0,0.0,0.0,802816.0,163840.0,0.0,0.0,0.0,0.0,14.96
19,31.35,38.0,262144.0,3676800.0,17.41,0.0,10240.0,0.8,13462336.0,4.62,4576000.0,13.12,11892.94,1242991685.25,0.0,0.0,0.0,0.0,1048576.0,655360.0,0.0,0.0,0.0,0.0,20.81
20,24.97,26.0,4096.0,3028096.0,5.67,0.0,1032.0,0.03,2101248.0,1.0,4715712.0,4.39,30249.33,1184576023.39,512.0,0.0,0.0,0.0,557056.0,0.0,128.0,0.0,16384.0,0.0,0.49
21,7.26,38.0,262144.0,2994688.0,5.2,0.0,8448.0,0.08,16785408.0,5.2,4171104.0,1.74,94973.89,1147249334.28,0.0,0.0,0.0,0.0,524288.0,5120.0,0.0,0.0,0.0,0.0,3.8
22,10.14,38.0,262144.0,2097280.0,2.96,0.0,17024.0,0.19,17857600.0,2.96,3938336.0,1.54,81406.52,1115769168.29,0.0,0.0,0.0,0.0,557568.0,11520.0,0.0,0.0,0.0,0.0,4.31
23,14.82,38.0,262144.0,2952448.0,7.8,0.0,8704.0,0.25,16793600.0,7.8,4498752.0,4.16,32223.87,1153489059.65,0.0,0.0,0.0,0.0,524288.0,20480.0,0.0,0.0,0.0,0.0,7.67
24,17.7,38.0,262144.0,2899712.0,5.03,0.0,17536.0,0.5,18970528.0,4.9,4873120.0,4.4,32651.2,1223441385.78,0.0,0.0,0.0,0.0,591872.0,32000.0,0.0,0.0,0.0,0.0,9.49
25,20.54,38.0,262144.0,3114368.0,9.71,0.0,8960.0,0.32,18976832.0,9.71,4442336.0,5.21,25840.13,1201642932.93,0.0,0.0,0.0,0.0,591872.0,46080.0,0.0,0.0,0.0,0.0,12.44
26,24.07,38.0,262144.0,2936704.0,8.04,0.0,18048.0,0.81,20120736.0,5.96,4338784.0,6.49,20681.63,1082581115.45,0.0,0.0,0.0,0.0,627200.0,62720.0,0.0,0.0,0.0,0.0,13.76
27,27.65,38.0,262144.0,2896768.0,10.13,0.0,9216.0,0.53,16809984.0,8.08,4413280.0,9.05,16198.89,1213945510.26,0.0,0.0,0.0,0.0,524288.0,81920.0,0.0,0.0,0.0,0.0,13.14
28,32.81,38.0,262144.0,2591232.0,13.29,0.0,10240.0,0.86,8519680.0,6.57,4877536.0,13.13,11015.65,1092822236.92,0.0,0.0,0.0,0.0,524288.0,327680.0,0.0,0.0,0.0,0.0,22.51
29,55.32,38.0,262144.0,3103616.0,16.91,0.0,20480.0,1.84,4718592.0,5.27,5568864.0,16.38,10330.7,1157112870.04,0.0,0.0,0.0,0.0,524288.0,1310720.0,0.0,0.0,0.0,0.0,33.38
30,29.37,26.0,65536.0,5997824.0,24.77,0.0,35456.0,2.4,4910528.0,5.87,10446336.0,22.53,13682.33,1090747236.39,6368.0,0.0,0.0,0.0,1790080.0,0.0,128.0,0.0,200896.0,0.0,9.64
31,6.52,38.0,262144.0,7355008.0,2.49,0.0,8448.0,0.03,38667360.0,2.49,9453184.0,1.44,244224.19,1145430855.03,0.0,0.0,0.0,0.0,1229312.0,5120.0,0.0,0.0,0.0,0.0,3.14
32,9.75,38.0,262144.0,4947712.0,9.02,0.0,8576.0,0.06,40133536.0,9.02,11026144.0,2.72,129670.59,1160093334.82,0.0,0.0,0.0,0.0,1254528.0,11520.0,0.0,0.0,0.0,0.0,4.49
33,12.97,38.0,262144.0,6710272.0,4.43,0.0,8704.0,0.09,40828960.0,4.03,9769152.0,4.01,85878.72,1152301446.73,0.0,0.0,0.0,0.0,1280000.0,20480.0,0.0,0.0,0.0,0.0,5.79
34,15.81,38.0,262144.0,6621184.0,3.99,0.0,8832.0,0.08,41662944.0,3.99,10754368.0,3.44,96486.46,1130559417.92,0.0,0.0,0.0,0.0,1305728.0,32000.0,0.0,0.0,0.0,0.0,4.91
35,19.35,38.0,262144.0,7712512.0,13.22,0.0,8960.0,0.17,42584224.0,13.22,9674368.0,6.59,48601.85,1105391463.15,0.0,0.0,0.0,0.0,1331712.0,46080.0,0.0,0.0,0.0,0.0,8.56
