input_size,output_size,Time,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Bandwidth,bw_ratio
"[64, 32, 97, 97]","[7, 7]",0.0001666880019658,23.86,23.86,24.98,0.15,0.0,433.3408666744008,27.86757985044378
"[64, 32, 97, 97]","[8, 8]",0.0001259519963711,30.96,24.33,32.72,0.21,0.0,573.7713862430239,36.89848143041954
"[64, 32, 97, 97]","[16, 16]",9.894399899839536e-05,40.11,18.54,41.84,0.28,0.0,737.2026684661793,47.40853173415944
"[64, 32, 97, 97]","[32, 32]",9.500799801293272e-05,43.65,14.11,46.33,0.29,0.0,809.2751050705938,52.04341511707998
"[64, 128, 64, 64]","[2, 2]",0.000555264000644,48.7,48.7,14.47,0.12,0.0,225.2596220477949,14.486149327832468
"[64, 128, 64, 64]","[3, 3]",0.0005536000035431,23.76,23.76,13.66,0.92,0.0,226.22761898563945,14.548399934767811
"[64, 128, 64, 64]","[4, 4]",0.0002565440022673,53.46,53.46,26.88,0.31,0.0,488.6324350292473,31.42330771892265
"[64, 128, 64, 64]","[5, 5]",0.0002925120041962,29.41,29.41,23.89,1.83,0.0,429.3416365365948,27.610394632578444
"[64, 128, 64, 64]","[6, 6]",0.0002677119977371,51.13,51.13,26.12,0.35,0.0,469.9565518848651,30.222286294846636
"[64, 128, 64, 64]","[7, 7]",0.0002436479957827,27.53,27.0,28.95,2.32,0.0,517.7258243134705,33.29426522916209
"[64, 128, 64, 64]","[8, 8]",0.0001507839993478,46.8,46.8,45.49,0.71,0.0,839.0441649092592,53.9578241099202
"[64, 128, 64, 64]","[16, 16]",0.0001652799970765,42.15,22.23,43.67,0.64,0.0,793.4269833095069,51.02424329964674
"[64, 128, 64, 64]","[32, 32]",0.0002240320000003,35.53,11.1,37.93,2.36,0.0,673.3240059240267,43.3005791591014
"[64, 128, 97, 97]","[2, 2]",0.0012144959967815,27.55,27.55,15.61,0.05,0.0,239.5149750840616,15.40289228836409
"[64, 128, 97, 97]","[3, 3]",0.0009356479990322,69.09,69.09,20.33,0.08,0.0,314.08532951824094,20.19841347384186
"[64, 128, 97, 97]","[4, 4]",0.0006290879967744,30.35,30.35,29.53,0.13,0.0,471.7440924418983,30.33724067150472
"[64, 128, 97, 97]","[5, 5]",0.000840575999678,25.45,25.45,21.92,0.1,0.0,355.63829601573224,22.87062996885738
"[64, 128, 97, 97]","[6, 6]",0.0005088960000007,70.06,70.06,33.79,0.18,0.0,574.2011561682982,36.92611936773622
"[64, 128, 97, 97]","[7, 7]",0.0005428479964618,28.8,28.8,31.02,0.18,0.0,532.9470958998533,34.27312513825423
"[64, 128, 97, 97]","[8, 8]",0.0004130239964474,37.16,29.13,40.38,0.26,0.0,701.3956545934168,45.10582987739015
"[64, 128, 97, 97]","[16, 16]",0.0003357759964459,46.38,21.19,49.38,0.32,0.0,876.1351755469367,56.343098105912325
"[64, 128, 97, 97]","[32, 32]",0.0003319360016162,50.29,15.76,52.96,0.32,0.0,951.0659262132006,61.16179589795502
"[64, 512, 64, 64]","[2, 2]",0.0016832319964658,64.21,64.21,19.28,0.16,0.0,297.3145121189984,19.119904316334303
"[64, 512, 64, 64]","[3, 3]",0.0019125120028922,27.5,27.5,16.07,1.06,0.0,262.42421824302096,16.876155514020642
"[64, 512, 64, 64]","[4, 4]",0.000891872004178,61.04,61.04,31.16,0.35,0.0,562.6639892352102,36.184179372039246
"[64, 512, 64, 64]","[5, 5]",0.0010870079958191,31.6,31.6,26.06,1.96,0.0,462.60836932701113,29.749734361865663
"[64, 512, 64, 64]","[6, 6]",0.0010292799971051,52.91,52.91,27.53,0.36,0.0,489.7910704779991,31.49781803717036
"[64, 512, 64, 64]","[7, 7]",0.0009322559993542,28.61,27.99,30.5,2.4,0.0,542.3859258107001,34.880123846347274
"[64, 512, 64, 64]","[8, 8]",0.0005703359977434,48.95,48.95,48.44,0.74,0.0,889.5593211500258,57.20638721222032
"[64, 512, 64, 64]","[16, 16]",0.0006310079961357,44.32,23.09,46.05,0.67,0.0,839.1590980245043,53.96521530704207
"[64, 512, 64, 64]","[32, 32]",0.0008686400012842,37.59,11.4,39.26,2.42,0.0,713.3287957055908,45.87323445052031
