Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Threads,Registers Per Thread
64,32,512,512,32,3,3,1,1,0,0,25.944176,22.408989,40.202469,NOT SUPPORT!,NOT SUPPORT!,19.482510,12.987734,30.029367,6,6,1,0.0326554239999827,82.52068572582606,1223.421873193904,10788.54188511491,37.34,75.91,75.91,23.34,80.96,52.68,4230812.0,33292800.0,80.0
64,32,640,640,32,3,3,1,1,0,0,39.614578,34.987804,64.164642,NOT SUPPORT!,NOT SUPPORT!,32.819656,21.354723,46.587788,6,6,1,0.0511233600008426,82.49455842183403,1222.9626221549115,10784.492056369396,37.35,75.81,75.81,23.26,80.91,52.65,6643001.0,52101632.0,80.0
64,32,768,768,32,3,3,1,1,0,0,57.131348,50.336880,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,43.989674,28.345003,NOT SUPPORT!,6,6,1,0.0735705920042852,82.51296467955078,1225.0237376742944,10802.667660057818,37.36,75.86,75.86,23.28,81.01,52.72,9491055.0,75104768.0,80.0
64,32,896,896,32,3,3,1,1,0,0,77.832535,68.539619,NOT SUPPORT!,NOT SUPPORT!,NOT SUPPORT!,59.400642,39.344017,NOT SUPPORT!,6,6,1,0.1003281279957998,82.52981786904952,1223.6114841606475,10790.213937823308,37.37,75.82,75.82,23.27,80.95,52.67,13244685.0,102302208.0,80.0
64,48,32,32,48,3,3,1,1,0,0,0.281372,0.358969,0.353508,NOT SUPPORT!,0.130617,0.117874,0.136533,0.184206,5,6,1,0.000351488002904,251.33554969620545,1164.1660501048734,10379.169615630948,32.29,68.57,68.57,13.58,77.85,51.88,15911.0,230400.0,80.0
64,48,48,48,48,3,3,1,1,0,0,0.640455,0.718620,0.788366,NOT SUPPORT!,0.532025,0.320512,0.278642,0.391282,6,6,1,0.0008077439961525,111.53098374707689,1191.0358982332405,10618.728835937574,35.13,68.87,68.87,14.66,79.11,52.73,46642.0,541696.0,80.0
64,48,64,64,48,3,3,1,1,0,0,1.135616,0.984974,1.338937,NOT SUPPORT!,0.630670,0.740693,0.563314,0.674247,6,6,1,0.0014468799983867,109.94611789251216,1207.9078195487655,10769.151134422946,36.13,69.47,69.47,15.19,80.49,53.66,101394.0,984064.0,80.0
64,48,96,96,48,3,3,1,1,0,0,3.123655,2.753763,3.456000,NOT SUPPORT!,3.330503,1.525874,1.254173,1.720206,6,6,1,0.0033314559987024,109.01607285084073,1227.60886819245,10775.526956976868,48.88,71.77,71.77,15.46,83.8,56.14,260328.0,2262016.0,64.0
64,48,97,97,48,3,3,1,1,0,0,2.622919,2.262585,3.041394,NOT SUPPORT!,2.895758,1.401742,1.038336,1.502322,6,6,1,0.0033987840006497,109.04795767414912,1229.0287347479275,10787.990055558414,48.88,71.87,71.87,15.66,83.91,56.2,252954.0,2310400.0,64.0
64,48,128,128,48,3,3,1,1,0,0,4.590137,3.946382,5.302955,NOT SUPPORT!,2.967438,2.197732,1.830457,2.630315,6,6,1,0.0058776959964844,108.68946612228379,1228.0523967754273,10948.750929359298,37.1,69.78,69.78,15.8,81.76,54.51,486212.0,4064256.0,80.0
