,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value,Metric Value
Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
ID,,,,,,,,,,,,,,,,,,,,,
37,60674048.0,23.03,20.66,152832.0,196460416.0,18.19,174364096.0,28.63,165979.04,1086022803.06,0.0,0.0,0.0,0.0,3145728.0,60817408.0,59768832.0,0.0,0.0,0.0,31.68
38,13274368.0,39.79,21.1,35360.0,41947008.0,28.05,61711904.0,52.31,35321.22,998903343.39,0.0,0.0,0.0,0.0,0.0,0.0,4194304.0,0.0,0.0,0.0,64.21
39,60688128.0,23.04,20.66,153696.0,196464032.0,18.22,179318944.0,28.66,166020.33,1080186428.62,0.0,0.0,0.0,0.0,3145728.0,60817408.0,59768832.0,0.0,0.0,0.0,31.67
40,60683264.0,22.91,20.54,154592.0,196455296.0,18.09,179420288.0,28.5,167019.74,1080390581.28,0.0,0.0,0.0,0.0,3145728.0,60817408.0,59768832.0,0.0,0.0,0.0,31.48
41,13286912.0,38.92,20.64,35808.0,41936640.0,27.44,61718720.0,51.2,36185.59,1010544922.72,0.0,0.0,0.0,0.0,0.0,0.0,4194304.0,0.0,0.0,0.0,62.68
42,619543552.0,25.54,25.54,1232224.0,1532786656.0,17.01,1349522336.0,27.22,1373076.15,1114307259.19,0.0,0.0,0.0,0.0,1572864.0,472383488.0,471859200.0,0.0,0.0,0.0,20.56
43,619603968.0,24.89,24.89,1222240.0,1532764160.0,16.56,1357579168.0,26.51,1409191.63,1152958199.4,0.0,0.0,0.0,0.0,1572864.0,472383488.0,471859200.0,0.0,0.0,0.0,20.03
44,13254912.0,39.11,20.7,36704.0,41931264.0,27.56,61706272.0,51.4,36046.09,982075321.29,0.0,0.0,0.0,0.0,0.0,0.0,4194304.0,0.0,0.0,0.0,62.92
45,619611520.0,25.08,25.08,1199328.0,1532755520.0,16.69,1351189408.0,26.71,1398657.96,1166201375.24,0.0,0.0,0.0,0.0,1572864.0,472383488.0,471859200.0,0.0,0.0,0.0,20.18
46,619534592.0,25.01,25.01,1230784.0,1532754752.0,16.64,1349372832.0,26.66,1402501.48,1139518779.48,0.0,0.0,0.0,0.0,1572864.0,472383488.0,471859200.0,0.0,0.0,0.0,20.13
47,19630720.0,51.96,21.86,46752.0,62447008.0,36.55,84857152.0,59.42,50586.81,1082024615.31,0.0,0.0,0.0,0.0,0.0,0.0,4817408.0,0.0,0.0,0.0,68.36
