Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
42,1280.0,1.81,0.01,6496.0,2304.0,1.81,229216.0,0.82,5761.13,886873403.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
43,19712.0,2.18,0.21,5984.0,44928.0,2.18,253280.0,0.99,5208.67,870432263.81,0.0,78336.0,138240.0,18432.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
44,10624.0,2.24,0.13,5056.0,6912.0,2.24,148800.0,0.65,4687.74,927163912.33,0.0,144.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
45,1408.0,1.83,0.01,6752.0,2368.0,1.83,228864.0,0.82,5718.43,846923271.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
46,94208.0,2.16,0.81,6848.0,200128.0,2.16,614816.0,2.2,6536.81,954558238.14,0.0,139168.0,346624.0,18560.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61
47,1280.0,2.69,0.02,4448.0,2368.0,2.69,127680.0,0.67,3874.67,871103117.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
48,50484992.0,66.38,66.38,39872.0,67108864.0,25.74,135992864.0,79.08,42880.26,1075447914.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.66
49,2361675136.0,72.78,72.78,1598784.0,2550066816.0,14.89,4912463040.0,70.94,1836707.09,1148815032.29,0.0,432013312.0,1182793728.0,16777216.0,0.0,0.0,0.0,0.0,0.0,0.0,27.09
50,56743296.0,69.39,13.46,216352.0,268449632.0,48.94,425920704.0,69.39,238294.07,1101418401.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.22
51,2688.0,1.68,0.02,7104.0,5056.0,1.68,444000.0,1.46,6253.0,880208333.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
52,203648.0,2.84,1.77,6816.0,432928.0,2.84,869568.0,3.95,6504.24,954260672.06,0.0,295328.0,734208.0,40192.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56
53,2688.0,2.89,0.04,4416.0,5056.0,2.89,125728.0,0.71,3630.59,822145061.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
54,8388736.0,47.16,31.49,15200.0,16777216.0,19.09,34275232.0,57.67,14870.7,978335769.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.23
55,5018624640.0,60.8,60.8,4154848.0,5033164800.0,11.69,10188121248.0,59.35,4673588.61,1124851886.55,0.0,794820608.0,2218786816.0,4194304.0,0.0,0.0,0.0,0.0,0.0,0.0,19.67
56,8543744.0,67.36,8.19,56704.0,67105888.0,49.76,101736960.0,67.36,58729.24,1035716011.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.83
57,9461888.0,49.5,33.0,16128.0,18923584.0,19.9,38736224.0,60.72,16023.11,993496472.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25
58,599369984.0,64.41,64.41,478272.0,762182496.0,18.31,1354310656.0,69.35,526597.0,1101040830.32,0.0,121820366.0,333527604.0,4730888.0,0.0,0.0,0.0,0.0,0.0,0.0,26.65
59,9846016.0,67.4,8.45,64544.0,75660448.0,49.68,114881312.0,67.4,65650.17,1017138179.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.07
60,2048.0,1.57,0.02,7296.0,3712.0,1.57,448928.0,1.38,6662.54,913176677.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
61,3968.0,2.28,0.05,5760.0,14848.0,2.28,340576.0,1.47,4721.22,819656635.8,0.0,6248.0,14592.0,1856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
62,5760.0,2.38,0.07,4864.0,7424.0,2.38,281120.0,1.3,4446.13,914089150.83,0.0,232.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
63,117549056.0,78.01,78.01,76832.0,134217728.0,25.79,270069568.0,80.99,85139.81,1108129618.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.86
64,4793105024.0,73.1,73.1,3282176.0,5100039040.0,14.77,10033929920.0,71.03,3711688.35,1130862071.95,0.0,864026624.0,2365587456.0,33554432.0,0.0,0.0,0.0,0.0,0.0,0.0,26.81
65,128903296.0,69.77,14.98,437792.0,536846176.0,47.9,871990176.0,69.77,486699.61,1111714264.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.58
66,476416.0,5.6,3.6,8160.0,952704.0,3.47,2033792.0,8.04,7468.54,915261891.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6
67,952832.0,15.24,7.53,8160.0,3810752.0,11.68,5079136.0,23.03,7083.28,868048747.28,0.0,1549064.0,3575520.0,476344.0,0.0,0.0,0.0,0.0,0.0,0.0,24.67
68,1430272.0,14.6,14.6,7200.0,1905408.0,5.33,3617472.0,21.0,5510.76,765383230.45,0.0,59543.0,0.0,59543.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01
69,1152.0,2.41,0.02,5248.0,2048.0,2.41,378016.0,1.79,4334.06,825849000.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
70,2176.0,2.41,0.03,5600.0,8192.0,2.41,329696.0,1.54,4388.72,783700396.83,0.0,3328.0,7680.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
71,1152.0,3.03,0.02,4320.0,2048.0,3.03,255584.0,1.53,3444.94,797440843.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
72,256.0,2.65,0.0,5248.0,64.0,2.65,374656.0,1.97,3919.85,746922990.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
73,3328.0,1.46,0.03,7360.0,6400.0,1.46,464000.0,1.31,7266.43,987286131.24,0.0,9088.0,29184.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
74,256.0,2.48,0.0,4864.0,96.0,2.48,269728.0,1.32,4193.78,862207602.34,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
75,2176.0,1.84,0.02,6976.0,3968.0,1.84,436384.0,1.56,5739.93,822810482.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
76,33920.0,2.28,0.36,5920.0,76800.0,2.28,465408.0,1.81,5285.19,892767767.77,0.0,134912.0,238080.0,31744.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76
77,18048.0,2.34,0.23,5088.0,11904.0,2.34,302624.0,1.37,4533.41,890999883.53,0.0,248.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
78,121728.0,2.4,0.94,7808.0,243200.0,1.97,851552.0,2.4,7287.13,933290167.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68
79,37886080.0,8.6,5.49,407456.0,89011200.0,2.47,164109536.0,8.6,390788.39,959093469.94,0.0,14029600.0,39185600.0,60800.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15
80,121856.0,5.37,0.78,8544.0,959264.0,4.66,1575968.0,6.99,8860.81,1037080385.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99
81,384.0,2.62,0.01,4864.0,512.0,2.62,363840.0,1.89,3968.13,815816124.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
82,21888.0,1.78,0.2,7104.0,45824.0,1.78,488160.0,1.59,6326.44,890546796.8,0.0,28896.0,72192.0,3712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56
83,384.0,2.53,0.01,4992.0,320.0,2.53,343360.0,1.71,4106.74,822664411.21,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
84,896.0,2.15,0.01,5728.0,1600.0,2.15,393856.0,1.66,4860.13,848486318.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
85,13824.0,2.13,0.15,5760.0,31136.0,2.13,385504.0,1.52,5183.41,899897119.34,0.0,55488.0,97792.0,12800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16
86,7168.0,2.45,0.09,5056.0,4800.0,2.45,285760.0,1.36,4283.17,847145305.91,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
87,1024.0,2.17,0.01,5920.0,1600.0,2.17,402048.0,1.72,4813.72,813128753.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
88,1920.0,2.17,0.02,5888.0,6336.0,2.17,336960.0,1.42,4853.17,824247056.16,0.0,2836.0,6752.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
89,2432.0,1.08,0.01,10176.0,2656.0,1.07,513056.0,1.08,9768.74,959978453.3,0.0,163.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
90,384.0,2.91,0.01,4544.0,512.0,2.91,351136.0,2.02,3577.11,787216353.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
91,97408.0,2.24,0.73,8160.0,185472.0,1.79,826784.0,2.24,7596.24,930911855.48,0.0,78848.0,245760.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39
92,2304.0,2.44,0.03,5024.0,1536.0,2.44,280864.0,1.35,4285.2,852946597.07,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
93,1152.0,2.41,0.02,5312.0,2048.0,2.41,377856.0,1.8,4327.13,814595186.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
94,16512.0,2.2,0.19,5472.0,32768.0,2.2,376672.0,1.54,4974.0,908991228.07,0.0,32768.0,61440.0,8192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
95,1024.0,3.15,0.02,4128.0,2048.0,3.15,247776.0,1.54,3307.09,801136771.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
96,65664.0,1.95,0.52,7872.0,131072.0,1.75,677664.0,1.95,7145.72,907739103.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
97,9830528.0,5.06,2.2,233216.0,39321600.0,1.69,62493056.0,5.06,253000.26,1084832341.09,0.0,6209536.0,17334272.0,32768.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84
98,65792.0,1.85,0.53,7264.0,131072.0,1.85,633440.0,1.83,7098.96,977280143.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01
99,1536.0,2.13,0.02,5792.0,1152.0,2.13,394336.0,1.64,4893.59,844888223.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
100,10112.0,2.06,0.11,5792.0,22272.0,2.06,372736.0,1.44,5316.17,917846454.88,0.0,39168.0,69120.0,9216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
101,5376.0,2.58,0.07,4704.0,3456.0,2.58,271520.0,1.37,4053.19,861646510.46,0.0,72.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
102,2097280.0,21.57,14.07,8736.0,4194304.0,9.37,8823488.0,28.59,8394.06,960858007.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.07
103,1243659008.0,62.1,62.1,1028000.0,1258291200.0,12.04,2543469120.0,60.67,1133872.48,1102988795.22,0.0,198705152.0,554696704.0,1048576.0,0.0,0.0,0.0,0.0,0.0,0.0,20.27
104,2097408.0,46.89,6.23,17952.0,16761504.0,32.26,22202816.0,53.13,18873.59,1051336485.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.78
105,1664.0,1.88,0.02,6464.0,3072.0,1.88,420832.0,1.56,5558.35,859893541.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
106,40064.0,2.28,0.43,5888.0,84384.0,2.28,481824.0,1.88,5265.44,894267059.18,0.0,104448.0,184320.0,24576.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14
107,1664.0,1.5,0.01,7232.0,1600.0,1.5,416512.0,1.23,6923.83,957388458.7,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
108,896.0,2.14,0.01,5568.0,1536.0,2.14,389024.0,1.64,4871.41,874893571.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
109,13184.0,2.05,0.14,5952.0,29824.0,2.05,389696.0,1.49,5375.24,903098242.73,0.0,52224.0,92160.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05
110,7168.0,2.38,0.09,5216.0,4608.0,2.38,292224.0,1.35,4399.94,843547631.22,0.0,96.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
111,128.0,2.66,0.0,4768.0,64.0,2.66,358880.0,1.87,3908.11,819654175.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
112,32128.0,1.45,0.19,10112.0,126016.0,1.2,673888.0,1.45,9542.96,943726558.84,0.0,29248.0,72384.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
113,512.0,2.44,0.01,4832.0,192.0,2.44,269472.0,1.3,4262.98,882239545.01,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
114,256.0,2.68,0.0,4768.0,256.0,2.68,362304.0,1.92,3885.76,814966287.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
115,7808.0,1.88,0.08,6464.0,15104.0,1.88,391776.0,1.42,5657.3,875200540.89,0.0,10752.0,22528.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
116,1280.0,2.33,0.02,4896.0,768.0,2.33,275296.0,1.25,4472.96,913595376.42,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
117,70016.0,1.98,0.55,7872.0,139712.0,1.77,689760.0,1.98,7159.41,909477567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
118,5658496.0,24.26,16.93,20000.0,12058624.0,15.17,22224256.0,37.24,18715.98,935799074.07,0.0,8105920.0,20125696.0,1117696.0,0.0,0.0,0.0,0.0,0.0,0.0,52.31
119,628992.0,5.97,5.97,7424.0,419136.0,3.31,1249408.0,9.12,5942.44,800437021.07,0.0,8732.0,0.0,8732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69
