Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
529,12042368.0,53.43,41.13,15680.0,24083456.0,24.66,42646112.0,71.53,16318.72,1040734835.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.68
530,8192128.0,48.29,36.74,12032.0,16380928.0,22.23,29444224.0,63.9,12461.89,1035728797.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.51
531,409728.0,7.39,5.08,4960.0,819200.0,5.21,1633504.0,10.63,4551.07,917555256.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37
532,1624060672.0,84.37,84.37,946560.0,1643943168.0,24.63,2875059392.0,75.27,1089718.54,1151240847.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91
533,976071424.0,84.53,84.53,569824.0,996425856.0,24.88,1741871360.0,75.88,653725.96,1147241890.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02
534,51035904.0,65.24,65.24,39008.0,70945280.0,26.44,124197984.0,77.97,44114.89,1130919013.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64
535,6422656.0,44.07,33.68,10400.0,12844032.0,20.56,22938272.0,58.11,10676.76,1026611467.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7
536,225887616.0,83.78,83.78,133312.0,245585664.0,26.38,430943264.0,78.56,152452.98,1143580333.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.66
537,6221952.0,43.78,33.25,10336.0,12446720.0,20.39,22315168.0,58.35,10442.11,1010266167.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.62
538,49280.0,3.08,0.72,4416.0,98304.0,3.08,308576.0,1.63,3892.89,881541867.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
539,46086016.0,63.93,63.93,36608.0,66080896.0,26.72,116188704.0,78.95,40633.83,1109971408.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76
540,98432.0,3.46,1.42,4800.0,196608.0,3.46,486176.0,3.09,3930.94,818946759.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
541,30008832.0,59.26,55.08,28160.0,50343936.0,27.02,88635392.0,79.93,30704.85,1090371159.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.86
542,26240.0,2.89,0.38,4576.0,52224.0,2.89,224096.0,1.18,3894.37,851042476.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
543,222623744.0,83.37,83.37,131840.0,242331392.0,26.26,424296480.0,78.92,151070.59,1145863111.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.61
544,16777600.0,57.55,44.5,19552.0,33549824.0,26.36,59307744.0,76.76,21116.63,1080024019.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.49
545,6594688.0,44.45,33.91,11168.0,13190144.0,20.76,23525152.0,59.01,10839.69,970602183.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8
546,98026752.0,75.83,75.83,64640.0,118193792.0,26.49,207190720.0,78.8,73040.52,1129958516.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68
547,393344.0,7.3,5.06,4960.0,786432.0,5.28,1554240.0,10.35,4393.07,885700418.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36
548,7782528.0,47.26,36.12,11904.0,15564800.0,21.9,27796704.0,62.41,12041.48,1011549183.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.35
549,111744.0,3.57,1.61,4480.0,223232.0,3.57,534304.0,3.49,3935.83,878534226.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
550,181513984.0,81.83,81.83,109408.0,201307904.0,26.29,353318656.0,78.52,125392.35,1146098565.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.61
551,471168.0,8.48,5.92,4992.0,942080.0,5.71,1857408.0,12.31,4508.8,903204386.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59
552,530415232.0,84.0,84.0,310496.0,550491648.0,25.17,962317024.0,76.42,357378.3,1150991627.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.14
553,101397120.0,76.34,76.34,66144.0,121348736.0,26.52,213120800.0,79.18,75000.09,1133891095.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69
