Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s,kernel_nums
4.83200448023942e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301184.0,1237280.0,602112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.2991996090670582e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9289856.0,33139488.0,18582528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.995200231233055e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70529536.0,158794656.0,90391040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.576002615314602e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4194432.0,15032096.0,8393728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0335999273129627e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6322304.0,22681312.0,12644352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.992001262622621e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401536.0,1587776.0,802816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9.536000735451593e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5406848.0,19575072.0,10813440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8704001692301997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31041024.0,90481376.0,51377792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.640004412919549e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16512.0,188960.0,32768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.4239996311338615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41848192.0,109275040.0,61979520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.4000021508997e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280128.0,4707360.0,2560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.736001270313852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196736.0,836256.0,393216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0001175360022657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196409600.0,379107584.0,215964160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.5039998950111202e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11534464.0,40915360.0,23070208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.928004139394546e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399488.0,1583840.0,798720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.230400200437531e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20406144.0,70371424.0,39871488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.939200098076645e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88316800.0,189762208.0,108293504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0001015359999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167053568.0,326616576.0,186985728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.239997255507654e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1638528.0,6045728.0,3276800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.000001147645409e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3612800.0,13135264.0,7225344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.8399999312401757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15462528.0,54947808.0,30918656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.696000411146365e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983168.0,3689504.0,1966080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.4207998231314311e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10584192.0,37647200.0,21173760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.676800164711768e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47148544.0,118104416.0,67203072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.683200332579859e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46996992.0,118243104.0,67255552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.567999830411065e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43798272.0,112471008.0,63764864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.307199866095114e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21956992.0,73729888.0,41749888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.056001282188789e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368768.0,1457984.0,737280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0687996680933946e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6553728.0,23409952.0,13113344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.447997875864198e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18048.0,195040.0,35840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.686399835606008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82956160.0,180595616.0,102766848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.216000392968137e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8388736.0,30035040.0,16784384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.2128003910485349e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8389760.0,29855520.0,16778240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0001458880003231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248625664.0,469599904.0,267950336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9.695997790046515e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5570688.0,20062496.0,11141120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.727998755648426e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983168.0,3648224.0,1966080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.415999708823063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134293248.0,270401440.0,153967872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.774400162521817e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141649024.0,282390112.0,161117312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
