input_size,output_size,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
"[16, 64, 64, 64]","[6, 6]",0.0001159039967417,0.0,0.0,0.0,14049280.0,0.0,20946944.0,0.0,0.0,0.0,0.0,59.53,59.53,31.06,67392000.0,137719232.0,607274432.0,70.16,57344.0,0.4,78.94,0.0,32.0,1048576.0,49045504.0,0.0,49045504.0,0.7277644824311491,0.35612676085791706,0.08076332777336491,394.0949953640381,0.0
"[16, 64, 64, 64]","[7, 7]",0.0001017919970812,0.0,0.0,0.0,17346560.0,0.0,22548480.0,0.0,0.0,0.0,0.0,32.83,30.17,35.14,67529600.0,138163328.0,643887520.0,69.82,348160.0,2.77,83.19,0.0,32.0,1048576.0,57241600.0,0.0,57241600.0,0.8476519926076861,0.41430385927009517,0.088899999179981,523.7189151970699,0.0
"[16, 64, 64, 64]","[8, 8]",7.174399836853495e-05,0.0,0.0,0.0,20873216.0,0.0,19759104.0,0.0,0.0,0.0,0.0,49.29,49.29,48.78,67654656.0,137036064.0,537919488.0,78.76,65536.0,0.75,88.57,0.0,32.0,1048576.0,61505536.0,0.0,61505536.0,0.9091101726982397,0.44882736853854766,0.11433966861598441,798.4151349689366,0.0
"[16, 64, 64, 64]","[16, 16]",7.827200129201422e-05,0.0,0.0,0.0,57344000.0,0.0,24969216.0,0.0,0.0,0.0,0.0,43.74,23.49,46.55,69563904.0,143225024.0,272629760.0,80.58,65536.0,0.68,89.22,0.0,32.0,1048576.0,139657216.0,0.0,139657216.0,2.0076103836840438,0.9750894927411567,0.5122596153846154,1661.717035744429,0.0
"[16, 64, 64, 64]","[32, 32]",0.0001068160022721,0.0,0.0,0.0,174325760.0,0.0,41680896.0,0.0,0.0,0.0,0.0,36.16,11.94,40.47,78010112.0,168351296.0,150997760.0,78.26,327680.0,2.49,89.65,0.0,32.0,1048576.0,390332416.0,0.0,390332416.0,5.00361307005943,2.3185590207752247,2.585021234752092,3403.285864406027,0.0
"[16, 64, 97, 97]","[1, 1]",0.00010527999935,0.0,0.0,0.0,0.0,4096.0,57282560.0,6428672.0,0.0,0.0,203776.0,72.65,21.79,70.65,154171776.0,309857760.0,157237088.0,33.73,1162297.0,8.97,96.05,12158.0,32.0,2097152.0,70144000.0,104333312.0,174477312.0,1.131707219874019,0.5630884054670763,1.1096447677789607,1543.4523216857156,922.948037138262
"[16, 64, 97, 97]","[2, 2]",0.0006864000039064,0.0,0.0,0.0,3153920.0,0.0,39788544.0,0.0,0.0,0.0,0.0,25.44,25.44,14.07,155965056.0,313183840.0,1236994880.0,30.81,40960.0,0.05,48.47,0.0,32.0,1048576.0,46096384.0,0.0,46096384.0,0.2955558455350409,0.14718634269252207,0.03726481390125075,62.544584474096126,0.0
"[16, 64, 97, 97]","[3, 3]",0.0004583680038482,0.0,0.0,0.0,5533696.0,0.0,40935424.0,0.0,0.0,0.0,0.0,70.33,70.33,20.86,157939456.0,316823072.0,1284226400.0,34.11,45056.0,0.08,62.48,0.0,32.0,1048576.0,52002816.0,0.0,52002816.0,0.3292579151342651,0.16413834911619063,0.040493495539415794,105.66050875665891,0.0
"[16, 64, 97, 97]","[4, 4]",0.0003014720035367,0.0,0.0,0.0,8142848.0,0.0,42123264.0,0.0,0.0,0.0,0.0,32.63,32.63,30.72,159546240.0,320490784.0,1306283904.0,44.19,49152.0,0.13,71.31,0.0,32.0,1048576.0,58408960.0,0.0,58408960.0,0.36609424327392487,0.18224848549779205,0.04471383274427915,180.43991604411238,0.0
"[16, 64, 97, 97]","[5, 5]",0.0003291840006433,0.0,0.0,0.0,10981376.0,0.0,43352064.0,0.0,0.0,0.0,0.0,34.51,34.51,27.98,160439040.0,323799968.0,1333272224.0,38.02,53248.0,0.13,75.42,0.0,32.0,1048576.0,65314816.0,0.0,65314816.0,0.4071005161835922,0.20171347268323386,0.04898835723438877,184.78772503761513,0.0
"[16, 64, 97, 97]","[6, 6]",0.0002311680022253,0.0,0.0,0.0,14049280.0,0.0,44621824.0,0.0,0.0,0.0,0.0,77.0,77.0,37.67,163193216.0,329198912.0,1362480544.0,46.9,57344.0,0.2,84.34,0.0,32.0,1048576.0,72720384.0,0.0,72720384.0,0.4456091115944428,0.2209010459913063,0.053373521053376595,292.9736581272147,0.0
"[16, 64, 97, 97]","[7, 7]",0.0002384320019307,0.0,0.0,0.0,17346560.0,0.0,45932544.0,0.0,0.0,0.0,0.0,34.47,34.47,37.29,163506688.0,331297024.0,1386353248.0,48.01,61440.0,0.21,84.98,0.0,32.0,1048576.0,80625664.0,0.0,80625664.0,0.4931031567344817,0.24336368321859722,0.058156652437835236,314.9262698317942,0.0
"[16, 64, 97, 97]","[8, 8]",0.0001723840025666,0.0,0.0,0.0,20873216.0,0.0,47284224.0,0.0,0.0,0.0,0.0,45.84,35.49,49.62,161275264.0,331666240.0,1413561888.0,60.52,65536.0,0.3,92.03,0.0,32.0,1048576.0,89030656.0,0.0,89030656.0,0.552041607571016,0.26843448401622066,0.06298320346339162,480.9974158338189,0.0
"[16, 64, 97, 97]","[16, 16]",0.0001461760006466,0.0,0.0,0.0,57344000.0,0.0,59572224.0,0.0,0.0,0.0,0.0,53.17,25.85,56.34,157545984.0,322066048.0,1261119552.0,73.57,65536.0,0.36,86.53,0.0,32.0,1048576.0,174260224.0,0.0,174260224.0,1.106091184145957,0.5410698367062895,0.13817898844216794,1110.2539387509564,0.0
