input_size,output_size,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,Achieved Occupancy,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum,Registers Per Thread,Threads,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s,Bandwidth,bw_ratio
"[64, 2, 64, 64]","[3, 3]",7.29600013278388e-05,0.0,0.0,0.0,11520.0,0.0,557568.0,0.0,0.0,0.0,0.0,2.96,2.96,1.54,2097280.0,3938336.0,17857600.0,4.31,17024.0,0.19,10.14,0.0,38.0,262144.0,580608.0,0.0,580608.0,0.2768385718645102,0.1474246991622858,0.032513215661679064,7.41136687995125,0.0,26.771438784832725,1.721635934715931
"[64, 2, 64, 64]","[4, 4]",2.7935999678902544e-05,0.0,0.0,0.0,20480.0,0.0,524288.0,0.0,0.0,0.0,0.0,7.8,7.8,4.16,2952448.0,4498752.0,16793600.0,7.67,8704.0,0.25,14.82,0.0,38.0,262144.0,565248.0,0.0,565248.0,0.19145061996011445,0.12564551235542656,0.033658536585365856,18.844080351769627,0.0,98.42788890260829,6.32976777508735
"[64, 2, 64, 64]","[5, 5]",2.6687996972722454e-05,0.0,0.0,0.0,32000.0,0.0,591872.0,0.0,0.0,0.0,0.0,5.03,4.9,4.4,2899712.0,4873120.0,18970528.0,9.49,17536.0,0.5,17.7,0.0,38.0,262144.0,655872.0,0.0,655872.0,0.22618522115299727,0.1345897494828775,0.034573207451052496,22.88775737956374,0.0,101.19033092830543,6.507416779955333
"[64, 2, 64, 64]","[6, 6]",2.1504000308139188e-05,0.0,0.0,0.0,46080.0,0.0,591872.0,0.0,0.0,0.0,0.0,9.71,9.71,5.21,3114368.0,4442336.0,18976832.0,12.44,8960.0,0.32,20.54,0.0,38.0,262144.0,684032.0,0.0,684032.0,0.2196374994862521,0.1539802482297602,0.03604563712214979,29.624927187070963,0.0,134.88100737062567,8.67401976659972
"[64, 2, 64, 64]","[7, 7]",1.910400034218517e-05,0.0,0.0,0.0,62720.0,0.0,627200.0,0.0,0.0,0.0,0.0,8.04,5.96,6.49,2936704.0,4338784.0,20120736.0,13.76,18048.0,0.81,24.07,0.0,38.0,262144.0,752640.0,0.0,752640.0,0.25628732075142746,0.17346795784256602,0.03740618633433688,36.69130077488352,0.0,143.16471321057017,9.206733968525413
"[64, 2, 64, 64]","[8, 8]",1.3344000915272184e-05,0.0,0.0,0.0,81920.0,0.0,524288.0,0.0,0.0,0.0,0.0,10.13,8.08,9.05,2896768.0,4413280.0,16809984.0,13.14,9216.0,0.53,27.65,0.0,38.0,262144.0,688128.0,0.0,688128.0,0.23755026291370243,0.15592212594714136,0.04093567251461988,48.02676084138502,0.0,202.17515338567418,13.001617581072294
"[64, 2, 64, 64]","[16, 16]",1.0080001694554096e-05,0.0,0.0,0.0,327680.0,0.0,524288.0,0.0,0.0,0.0,0.0,13.29,6.57,13.13,2591232.0,4877536.0,8519680.0,22.51,10240.0,0.86,32.81,0.0,38.0,262144.0,1179648.0,0.0,1179648.0,0.45524599881446354,0.24185326361507123,0.13846153846153847,108.99133212383848,0.0,239.4119496001504,15.396266855315138
"[64, 2, 64, 64]","[32, 32]",8.927996799173862e-06,0.0,0.0,0.0,1310720.0,0.0,524288.0,0.0,0.0,0.0,0.0,16.91,5.27,16.38,3103616.0,5568864.0,4718592.0,33.38,20480.0,1.84,55.32,0.0,38.0,262144.0,3145728.0,0.0,3145728.0,1.0135686889099682,0.5648778637797583,0.6666666666666666,328.1461189895469,0.0,323.7532123673317,20.820142274426477
"[64, 2, 97, 97]","[1, 1]",1.254399694404345e-05,0.0,0.0,0.0,0.0,128.0,1790080.0,200896.0,0.0,0.0,6368.0,24.77,5.87,22.53,5997824.0,10446336.0,4910528.0,9.64,35456.0,2.4,29.37,0.0,26.0,65536.0,2192000.0,3260416.0,5452416.0,0.9090656878227837,0.5219453021614469,1.1103522879820662,404.8118099555111,242.06790203973938,445.3053452331229,28.636999693448416
"[64, 2, 97, 97]","[2, 2]",0.0002132160042027,0.0,0.0,0.0,5120.0,0.0,1229312.0,0.0,0.0,0.0,0.0,2.49,2.49,1.44,7355008.0,9453184.0,38667360.0,3.14,8448.0,0.03,6.52,0.0,38.0,262144.0,1239552.0,0.0,1239552.0,0.16853169976157742,0.1311253435879382,0.032056804498677954,5.414334464838203,0.0,32.12650482074225,2.066013171751913
