Batch_sizeN,input_channel,image_size_H,image_size_W,output_channel,kernel_sizeR,kernel_sizeS,strideU,strideV,pad_h,pad_w,algo0,algo1,algo2,algo3,algo4,algo5,algo6,algo7,algoMin,winoAlgoMin,kernel_nums,time,ai,tc_perf,perf,Achieved Occupancy,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__throughput.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts_mem_shared.sum.pct_of_peak_sustained_elapsed,l1tex__data_bank_conflicts_pipe_lsu_mem_shared.sum
128,2,128,128,2,3,3,1,1,0,0,0.119012,0.118784,0.118556,NOT SUPPORT!,0.394468,0.986681,0.561038,0.220388,2,7,1,0.0001176640016253,10.748021319284598,552.6592254365224,1899.7660874380456,46.53,37.98,37.98,18.5,62.14,0.88,0.0
128,2,256,256,2,3,3,1,1,0,0,0.435883,0.436452,0.435541,NOT SUPPORT!,1.523257,3.149369,2.182144,0.833764,2,7,1,0.0004557439961429,7.510649353948013,579.8376681568861,1993.191984289296,46.46,37.52,37.52,20.65,64.42,0.91,0.0
128,2,384,384,2,3,3,1,1,0,0,0.977237,0.977806,0.977237,NOT SUPPORT!,NOT SUPPORT!,6.593649,4.897792,1.871872,0,7,1,0.0010285119967859,7.119228913268709,581.135374082001,1997.652848406879,46.55,37.58,37.58,21.68,64.58,0.91,0.0
128,2,512,512,2,3,3,1,1,0,0,1.753998,1.754340,1.754567,NOT SUPPORT!,NOT SUPPORT!,11.244430,8.700702,3.303083,0,7,1,0.0018446399996714,7.000511623844167,577.5487901106894,1985.3239660054955,46.52,37.1,37.1,21.95,64.17,0.91,0.0
128,2,640,640,2,3,3,1,1,0,0,3.321401,3.321401,2.809401,NOT SUPPORT!,NOT SUPPORT!,18.762070,13.587455,5.188153,2,7,1,0.0028727679974284,6.948568768186227,580.3643821890473,1995.0025637748502,46.59,37.1,37.1,22.25,64.47,0.91,0.0
128,2,768,768,2,3,3,1,1,0,0,4.750109,4.750222,4.749995,NOT SUPPORT!,NOT SUPPORT!,26.247623,19.547249,7.497386,2,7,1,0.0041412800019182,6.920239831289082,580.340516672814,1994.9205260627978,46.55,36.85,36.85,23.02,64.43,0.91,0.0
128,2,896,896,2,3,3,1,1,0,0,6.555761,6.556217,6.150599,NOT SUPPORT!,NOT SUPPORT!,34.857986,26.605453,10.167523,2,7,1,0.0056836480038493,6.906036123087998,575.9805416842983,1979.933112039775,46.36,36.73,36.73,24.1,63.97,0.9,0.0
128,2,1024,1024,2,3,3,1,1,0,0,7.986745,7.267555,7.256633,NOT SUPPORT!,NOT SUPPORT!,47.333603,34.750465,13.392100,2,7,1,0.0075451840006324,6.896947833975836,567.0115485111326,1949.1021980070184,45.82,36.21,36.21,25.14,63.02,0.89,0.0
128,2,2048,2048,2,3,3,1,1,0,0,33.783352,33.769699,33.789043,NOT SUPPORT!,NOT SUPPORT!,183.338684,138.907181,NOT SUPPORT!,1,6,1,0.0332988799979845,4.5798865244855165,514.9221576532852,1770.044916933168,45.92,32.21,32.21,30.37,57.11,0.81,0.0
128,4,4,4,4,3,3,1,1,0,0,0.012971,0.030606,0.013084,NOT SUPPORT!,0.032199,0.065991,0.027193,0.021845,0,7,1,9.21599782713586e-06,46.01526717557252,22.222227461575645,167.4444839229725,3.1,1.57,1.57,0.93,1.52,0.97,0.0
