Metric Name,dram__bytes.sum,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,gpu__time_duration.sum,l1tex__t_bytes.sum,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,lts__t_bytes.sum,lts__throughput.avg.pct_of_peak_sustained_elapsed,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg.per_second,sm__inst_executed_pipe_tensor.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__throughput.avg.pct_of_peak_sustained_elapsed
18,147712.0,3.68,1.39,6080.0,608256.0,3.68,991648.0,4.11,6010.41,988553849.9,0.0,0.0,23040.0,36864.0,0.0,18432.0,0.0,0.0,0.0,0.0,2.54
19,49408.0,2.38,0.46,6272.0,202752.0,2.38,449248.0,1.59,6029.07,961268187.83,0.0,0.0,7680.0,12288.0,0.0,6144.0,0.0,0.0,0.0,0.0,0.84
20,16640.0,1.95,0.16,6208.0,67584.0,1.95,224032.0,0.77,5996.74,965969835.82,0.0,0.0,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.28
21,147712.0,3.65,1.38,6208.0,608256.0,3.65,1011488.0,4.33,6054.28,975238044.1,0.0,0.0,23040.0,36864.0,0.0,18432.0,0.0,0.0,0.0,0.0,2.52
22,49408.0,2.39,0.47,6016.0,202752.0,2.39,449632.0,1.58,5981.72,994302231.09,0.0,0.0,7680.0,12288.0,0.0,6144.0,0.0,0.0,0.0,0.0,0.85
23,16640.0,1.98,0.16,5984.0,67584.0,1.98,224480.0,0.77,5950.44,994392453.95,0.0,0.0,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.29
24,442624.0,8.49,3.94,6432.0,1824768.0,7.1,2612128.0,11.7,6326.83,983649461.03,0.0,0.0,69120.0,110592.0,0.0,55296.0,0.0,0.0,0.0,0.0,7.19
25,147712.0,3.71,1.4,6176.0,608256.0,3.71,982624.0,4.11,5971.91,966953919.59,0.0,0.0,23040.0,36864.0,0.0,18432.0,0.0,0.0,0.0,0.0,2.56
26,49408.0,2.36,0.46,5984.0,202752.0,2.36,454624.0,1.55,6105.44,1020294860.37,0.0,0.0,7680.0,12288.0,0.0,6144.0,0.0,0.0,0.0,0.0,0.83
27,16640.0,1.98,0.16,6080.0,67584.0,1.98,224544.0,0.78,5914.19,972727826.51,0.0,0.0,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.29
28,16640.0,1.97,0.16,6016.0,67584.0,1.97,226656.0,0.78,5926.07,985052206.46,0.0,0.0,2560.0,4096.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.29
29,18445056.0,62.74,37.46,25856.0,69207808.0,35.33,84787680.0,73.59,27652.63,1069485985.06,0.0,0.0,1105920.0,4194304.0,0.0,2097152.0,0.0,0.0,0.0,0.0,22.41
30,8388864.0,48.29,26.24,17216.0,34603008.0,26.11,42396704.0,59.44,17950.56,1042667028.09,0.0,0.0,1105920.0,2097152.0,0.0,1048576.0,0.0,0.0,0.0,0.0,22.03
31,2097408.0,22.63,11.93,9728.0,8650752.0,12.1,10847392.0,28.36,9848.43,1012379309.82,0.0,0.0,327680.0,524288.0,0.0,262144.0,0.0,0.0,0.0,0.0,19.12
32,524544.0,8.56,4.04,7040.0,2162688.0,6.73,3054752.0,12.36,7337.02,1042190130.47,0.0,0.0,81920.0,131072.0,0.0,65536.0,0.0,0.0,0.0,0.0,7.33
33,91673728.0,62.8,62.8,71680.0,211867776.0,37.02,250437920.0,79.45,82401.81,1149578889.72,0.0,0.0,1105920.0,12840960.0,0.0,6420480.0,0.0,0.0,0.0,0.0,22.7
34,420902528.0,75.47,75.47,275968.0,847501568.0,39.03,996931584.0,85.22,315519.39,1143318750.32,0.0,0.0,1105920.0,51363840.0,0.0,25681920.0,0.0,0.0,0.0,0.0,23.59
35,11533056.0,56.57,30.73,20864.0,47520000.0,32.02,58278688.0,67.74,21081.0,1010400690.18,0.0,0.0,1105920.0,2880000.0,0.0,1440000.0,0.0,0.0,0.0,0.0,22.72
36,1229056.0,16.79,8.79,7904.0,5068800.0,10.26,6408480.0,22.64,7825.52,990070662.77,0.0,0.0,192000.0,307200.0,0.0,153600.0,0.0,0.0,0.0,0.0,16.03
37,4915456.0,39.63,22.16,12896.0,20275200.0,20.92,23867488.0,49.15,12340.8,956947603.62,0.0,0.0,768000.0,1228800.0,0.0,614400.0,0.0,0.0,0.0,0.0,23.15
38,157938816.0,70.11,70.11,113696.0,339541248.0,38.91,400084032.0,83.31,127282.37,1119497347.05,0.0,0.0,1105920.0,20579328.0,0.0,10289664.0,0.0,0.0,0.0,0.0,23.49
39,684936704.0,75.48,75.48,448320.0,1358245504.0,38.63,1602594112.0,84.22,513494.22,1145374335.79,0.0,0.0,1105920.0,82317312.0,0.0,41158656.0,0.0,0.0,0.0,0.0,23.22
40,93226624.0,65.64,65.64,73184.0,214822400.0,38.84,254477984.0,83.78,80140.93,1095060749.97,0.0,0.0,1105920.0,13019136.0,0.0,6509568.0,0.0,0.0,0.0,0.0,23.66
