N,cin,cout,time,ai,tc_perf,perf
968,12544,1024,0.0017687680035326,178.18414227139186,0.0,13885.680216934865
1024,12544,1024,0.0017717759987112,170.0332673927558,0.0,13862.106097421729
1024,12544,1024,0.001770623996155,167.37218533147245,0.0,13871.125054407075
1024,12544,1024,0.0017705920006407,167.91974884021164,0.0,13871.37571281956
1024,12544,1024,0.0017713280041759,166.05985379103564,0.0,13865.61202504482
1024,12544,1024,0.0017725440006434,168.49115994854378,0.0,13856.099970485915
25600,768,2304,0.0058337280006608,298.1725684450097,0.0,14472.723382211412
25600,768,3072,0.0077533439967644,311.3887561666385,0.0,14519.314793007854
25600,3072,768,0.0081514240019362,266.55822149925444,0.0,13803.515866693799
25600,768,512,0.0013217279964633,167.5944649426848,0.0,14195.21042260904
100864,512,1536,0.0102245760041697,195.97212347394753,0.0,14464.588756449362
100864,512,512,0.0034396799990361,133.24109977881346,0.0,14332.175003761915
100864,512,2048,0.0135892159987565,208.13165254687263,0.0,14510.946240794492
100864,2048,512,0.0136526719990466,189.3355774677088,0.0,14432.932668190178
100864,512,768,0.005123711996802,159.0457158592511,0.0,14432.338039460867
43008,256,1024,0.001476416003862,112.42410434199941,0.0,14251.41394428199
43008,1024,256,0.0015267520019351,103.25312386675797,0.0,13761.405833835688
103680,96,384,0.0005230719996751,42.94070562686026,0.0,13681.136606178263
25920,192,768,0.0005199999964521,95.8546120522664,0.0,13726.307889250971
1024,12544,1024,0.0017745279996726,170.44795900555036,0.0,13840.608251620382
121600,96,384,0.0006126080019349,42.23394880918889,0.0,13700.599563373045
30400,192,768,0.0006086720029046,92.58321731426402,0.0,13753.47167187866
7600,1536,384,0.0006032320012914,116.21989659172078,0.0,14019.027598195351
1900,3072,768,0.0006035520003255,234.25641432524372,0.0,13995.667370092031
4576,384,1536,0.0003727679996776,79.76909694646932,0.0,13651.5666363563
4576,1536,384,0.0003603520029111,178.42101682101682,0.0,14053.336482961333
1144,768,3072,0.0003655680042125,408.2404772655222,0.0,13857.328431546262
1144,3072,768,0.0003664639990292,231.9248304600049,0.0,13850.428984009333
1024,12544,1024,0.0017714879971043,170.87303917421804,0.0,13864.359744546407
1024,12544,1024,0.0017711679983989,168.22000754434754,0.0,13866.864632379446
1024,12544,1024,0.0017717440003195,171.73875351765162,0.0,13862.356452495946
1024,12544,1024,0.0017726080022489,172.70357312303327,0.0,13855.599683539813
1024,12544,1024,0.0017718400022517,169.42698101120612,0.0,13861.605361538188
1024,12544,1024,0.0017716480022475,170.88026700041718,0.0,13863.107594647845
121600,96,384,0.0006129279980597,42.24694937547404,0.0,13693.446783957528
30400,192,768,0.0006084799993557,92.58480414195176,0.0,13757.81152754112
7600,1536,384,0.0006035200025825,116.20181132891393,0.0,14012.337682316886
1900,1536,768,0.0003083519967585,276.87422429337516,0.0,13712.77981514422
1900,3072,768,0.0006035199983816,234.7414381406073,0.0,13996.40949721826
1024,12544,1024,0.0017721919964604,172.30940100745093,0.0,13858.85215826208
27200,192,768,0.0005423359987098,94.90005830058331,0.0,13810.91813723141
6800,384,1536,0.000537536000967,235.58333146934484,0.0,14014.379742056753
