N,cin,cout,time,ai,tc_perf,perf
16,2,64,7.583998452678995e-06,8.27027027027027,0.0,4.809869467952416
16,64,64,7.552002807270325e-06,7.083333333333333,0.0,21.467766621191515
16,64,2,7.871997722559223e-06,74.73684210526316,0.0,43.007428896225996
6144,64,64,1.24799963916475e-05,31.912385247221774,0.0,3785.354534967428
96,64,128,9.471997031580568e-06,28.8,0.0,163.10735607571476
1536,128,128,1.3728001805157064e-05,60.67407629918895,0.0,3507.920450823326
96,128,256,1.1711995834089496e-05,35.81276595744681,0.0,513.9681033385733
384,320,320,2.067200341067703e-05,88.20221527975008,0.0,3581.814130677732
96,320,640,1.2735998939033416e-05,44.00977995110024,0.0,3032.6486363059034
96,512,512,1.4655998273645093e-05,41.51778006166495,0.0,3285.8040361431445
6144,64,64,1.2256003515725731e-05,31.912385247221774,0.0,3854.5363402421185
96,64,128,8.92800315898976e-06,28.8,0.0,173.04568166762866
1536,128,128,1.2928001024192574e-05,60.67407629918895,0.0,3724.9949308584355
96,128,256,1.1904001767957844e-05,35.81276595744681,0.0,505.6780402502346
384,320,320,2.0192001682773992e-05,88.20221527975008,0.0,3666.9605663191055
96,320,640,1.2704000704296627e-05,44.00977995110024,0.0,3040.2871279273577
96,512,512,1.4880004251796052e-05,41.51778006166495,0.0,3236.3390135078334
96,2048,1024,0.0001267839962116,45.44809787536794,0.0,3063.2154753236646
196,1024,1024,0.0001866240042004,97.76047536113103,0.0,2438.1487890225794
96,2048,1024,0.0001251200000003,45.44429410369792,0.0,3103.9537980963783
196,1024,1024,0.0001838399962687,97.76047536113103,0.0,2475.071252605436
96,4096,1024,0.0001986879950446,44.12371019484217,0.0,3812.5470240348964
192,1536,768,0.0001565760039811,77.64326013366895,0.0,2724.1989743499416
98,1536,1536,0.0002762240024618,62.7434341373859,0.0,2123.8919016682216
196,768,768,8.473600000013528e-05,90.44367657221838,0.0,2945.8380177615063
2,2048,196,7.801599772241324e-05,18.119334752108458,0.0,351.2591299471485
2,2048,196,7.881600032664126e-05,18.119334752108458,0.0,347.69375974881325
2,2048,196,7.833599576893905e-05,18.119334752108458,0.0,349.82425656226184
2,2048,16,6.681600361331122e-05,28.432900432900432,0.0,58.59124846053701
2,2048,16,6.665599606401395e-05,28.432900432900432,0.0,58.73189660369032
2,2048,16,6.576000128665373e-05,28.432900432900432,0.0,59.532131877287355
1,2048,42,5.951999999986879e-06,0.7303850345078097,0.0,40.272190686283906
1,2048,42,6.11199548416976e-06,0.7303850345078097,0.0,39.21797383277905
