N,cin,cout,Time,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,sm__inst_executed_pipe_tensor.sum,dram__bytes.sum,lts__t_bytes.sum,l1tex__t_bytes.sum,CC FLOPs,TC FLOPs,all FLOPs,AI HBM,AI L2,AI L1,GFLOP/s,TC GFLOP/s
7808,768,768,0.0006517120019303,0.0,0.0,0.0,4605345792.0,5996544.0,0.0,0.0,0.0,0.0,0.0,37339392.0,814227776.0,733887744.0,9216688128.0,0.0,9216688128.0,246.83551697895885,11.319545217774541,12.558716511281595,13171.01678559373,0.0
7808,768,3072,0.0024444479964685,0.0,0.0,0.0,18421383168.0,23986176.0,0.0,0.0,0.0,0.0,0.0,114998144.0,1983213856.0,1798137280.0,36866752512.0,0.0,36866752512.0,320.58563059939473,18.589398415336607,20.50274632646513,14046.050035341774,0.0
7808,3072,768,0.0025618879974364,0.0,0.0,0.0,18421383168.0,5996544.0,0.0,0.0,0.0,0.0,0.0,166879104.0,3202635776.0,2863802720.0,36848762880.0,0.0,36848762880.0,220.81112611918147,11.505761334503996,12.867074475018308,13395.62258425735,0.0
4864,768,768,0.0003910080022587,0.0,0.0,0.0,2880110592.0,14942208.0,0.0,0.0,0.0,0.0,0.0,17956096.0,485883552.0,369942528.0,5775163392.0,0.0,5775163392.0,321.62689439842603,11.885900167289465,15.610974556566797,13755.575353938493,0.0
4864,768,3072,0.001493887998391,0.0,0.0,0.0,11475615744.0,14942208.0,0.0,0.0,0.0,0.0,0.0,69441152.0,1240514592.0,1120527520.0,22966173696.0,0.0,22966173696.0,330.72858146132137,18.513424867476285,20.49585867913356,14317.616875336065,0.0
4864,3072,768,0.0015008959980704,0.0,0.0,0.0,11486822400.0,14942208.0,0.0,0.0,0.0,0.0,0.0,150900736.0,1400569216.0,1165990688.0,22988587008.0,0.0,22988587008.0,152.34244455905105,16.413745743787647,19.715926760471692,14264.672613284074,0.0
4800,768,768,0.0003904320032243,0.0,0.0,0.0,2842214400.0,14745600.0,0.0,0.0,0.0,0.0,0.0,17609600.0,479421632.0,365359200.0,5699174400.0,0.0,5699174400.0,323.64019625658733,11.887603770035975,15.598825484618972,13594.60733638004,0.0
4800,768,3072,0.0014932480028896,0.0,0.0,0.0,11324620800.0,14745600.0,0.0,0.0,0.0,0.0,0.0,68833152.0,1225149440.0,1106154368.0,22663987200.0,0.0,22663987200.0,329.2597613429064,18.498957319035302,20.488991279741526,14135.282866148782,0.0
4800,3072,768,0.0015001919993545,0.0,0.0,0.0,11335680000.0,14745600.0,0.0,0.0,0.0,0.0,0.0,147870848.0,1381755328.0,1150847616.0,22686105600.0,0.0,22686105600.0,153.4183776372203,16.418323230087807,19.712519089929625,14083.585490711574,0.0
4800,768,2304,0.0011127679971038,0.0,0.0,0.0,8504524800.0,22118400.0,0.0,0.0,0.0,0.0,0.0,134585984.0,1095188384.0,917790048.0,17031168000.0,0.0,17031168000.0,126.54488598158929,15.550902702050573,18.55671461802558,14254.10442405918,0.0
4800,768,8192,0.0039243200029016,0.0,0.0,0.0,30198988800.0,39321600.0,0.0,0.0,0.0,0.0,0.0,246806272.0,3321023520.0,2948455520.0,60437299200.0,0.0,60437299200.0,244.87748512323057,18.198395415158036,20.497951822586764,14343.025301742027,0.0
1024,12544,1024,0.0017700799980687,0.0,0.0,0.0,13180600320.0,10485760.0,0.0,0.0,0.0,0.0,0.0,156509568.0,2444497216.0,2949059168.0,26371686400.0,0.0,26371686400.0,168.498876694874,10.788184264391488,8.942406678766236,13875.38806257205,0.0
1024,1024,1024,0.0001715839957961,0.0,0.0,0.0,1077936128.0,4194304.0,0.0,0.0,0.0,0.0,0.0,12583168.0,243169440.0,195126144.0,2160066560.0,0.0,2160066560.0,171.66317417044738,8.882968846743243,11.070103245621459,11724.396209950748,0.0
1024,1024,81,2.9119998316215407e-05,0.0,0.0,0.0,100663296.0,1572864.0,1179648.0,0.0,0.0,0.0,0.0,4526336.0,32322432.0,24754048.0,204079104.0,0.0,204079104.0,45.087042588088906,6.313853611015409,8.244271967154624,6526.905479134714,0.0
