N,cin,cout,time,ai,tc_perf,perf
512,1024,320,4.409600130558992e-05,83.2880854146326,0.0,7149.096804641266
2888,128,256,2.4736001338150766e-05,118.99888694546033,0.0,7213.31825072107
722,256,512,2.716799798123452e-05,154.74336641685235,0.0,6704.364641254506
1024,1024,81,2.9120002326334786e-05,45.08576761021406,0.0,6526.904580313696
3528,128,256,3.2351997019018305e-05,120.60562822037257,0.0,6727.366402297381
882,256,512,3.4016000338335995e-05,165.7861048857015,0.0,6481.037811095708
578,256,512,2.473599829355367e-05,144.71543224031186,0.0,6082.912731463317
1024,1024,81,2.94079993199319e-05,45.087042588088906,0.0,6462.985614722877
1024,1024,81,2.918399932791573e-05,45.087042588088906,0.0,6512.59186333301
1024,1024,320,8.115199999991039e-05,99.02916267628115,0.0,7746.723548103487
1024,1024,81,2.9280002021736573e-05,45.087042588088906,0.0,6491.238505427791
1024,1024,320,8.348799667949452e-05,99.02916267628115,0.0,7529.969988241503
1024,1024,81,2.8896003009563297e-05,45.087042588088906,0.0,6577.500580256633
1024,1024,81,2.902400133618187e-05,45.087042588088906,0.0,6548.493240508616
1024,1024,81,2.908799831957213e-05,45.087042588088906,0.0,6534.085792854781
1024,1024,81,2.9408004059236495e-05,45.087042588088906,0.0,6462.984573167749
1024,1024,81,2.9792003808971458e-05,45.087042588088906,0.0,6379.6808627308565
600,256,512,2.489599897333464e-05,141.85300067430884,0.0,6043.819294275884
300,512,512,2.5792002414400243e-05,121.51823918731722,0.0,7298.092596715394
300,512,512,2.585599965380678e-05,121.51823918731722,0.0,7280.028790040865
300,512,512,2.59519965044162e-05,121.51823918731722,0.0,7253.099846979744
600,256,512,2.467199931021912e-05,141.85300067430884,0.0,6098.691762000384
300,512,512,2.579199724339737e-05,121.51823918731722,0.0,7298.094059900174
300,512,512,2.6080004201525817e-05,121.51823918731722,0.0,7217.499676015674
300,512,512,2.611199965096811e-05,121.51823918731722,0.0,7208.655958603355
600,256,512,2.470399654613702e-05,141.85300067430884,0.0,6090.792583471321
300,512,512,2.576000346249567e-05,121.51823918731722,0.0,7307.158252096126
300,512,512,2.579199965270561e-05,121.51823918731722,0.0,7298.093378163264
300,512,512,2.607999755125328e-05,121.51823918731722,0.0,7217.50151644299
600,256,512,2.4928004452924285e-05,141.85300067430884,0.0,6036.059534146198
300,512,512,2.5663999314900796e-05,121.51823918731722,0.0,7334.492943417054
300,512,512,2.5600003090345995e-05,121.51823918731722,0.0,7352.828091883483
300,512,512,2.576000344494745e-05,121.51823918731722,0.0,7307.158257073906
1024,1024,81,3.008000310951302e-05,45.087042588088906,0.0,6318.598966580261
1024,1024,320,8.310399507273823e-05,99.02916267628115,0.0,7564.763990284131
2048,256,256,3.814400168548298e-05,115.32082022350005,0.0,6643.717427436225
200,256,2048,3.315200334341726e-05,102.82130545980206,0.0,6649.944562664713
200,2048,256,3.286400136808355e-05,69.51935859658741,0.0,7359.867476731533
100,2048,256,2.131199925206479e-05,48.658650048275256,0.0,6201.747161124253
1024,1024,81,2.9504002734425524e-05,45.087042588088906,0.0,6441.955631353447
512,1024,320,4.540799594966677e-05,83.2880854146326,0.0,6942.5345787268425
1024,1024,81,2.9216001014641034e-05,45.087042588088906,0.0,6505.458309207114
1024,1024,320,8.390400116781975e-05,99.02916267628115,0.0,7492.635638645978
1024,1024,81,2.931199864272672e-05,45.087042588088906,0.0,6484.152748473911
1024,1024,320,8.246399662477222e-05,99.02916267628115,0.0,7623.4736988984305
1024,1024,81,2.9504001022816388e-05,45.087042588088906,0.0,6441.956005069205
1024,1024,81,2.908799632389956e-05,45.087042588088906,0.0,6534.086241146085
1024,1024,320,8.086399637831559e-05,99.02916267628115,0.0,7774.314126571927
1024,1024,81,2.937600067886858e-05,45.087042588088906,0.0,6470.0256049224845
1024,1024,320,8.086400293087663e-05,99.02916267628115,0.0,7774.313496604747
1024,1024,81,2.9440000686492583e-05,45.087042588088906,0.0,6455.960330520758
1024,1024,320,8.249600393925969e-05,99.02916267628115,0.0,7620.515895992641
1024,1024,81,2.9727995546354795e-05,45.087042588088906,0.0,6393.417150044122
1024,1024,320,8.127999902808573e-05,99.02916267628115,0.0,7734.524075938661
1024,1024,81,2.9216003707783784e-05,45.087042588088906,0.0,6505.457709531401
1024,1024,320,8.214399553194078e-05,99.02916267628115,0.0,7653.171790633824
32,2048,2048,3.795200387290535e-05,16.40744580159553,0.0,6860.664786883291
128,384,4096,4.992000265783895e-05,62.618850357044224,0.0,7580.487752449607
128,4096,256,3.878400171510278e-05,44.992960898400945,0.0,6797.683213777579
128,256,4096,4.032000000010581e-05,64.8369726019291,0.0,6478.930276520696
1024,1024,81,2.934400169635112e-05,45.087042588088906,0.0,6477.081024233109
1024,1024,320,8.099199599025644e-05,99.02916267628115,0.0,7762.02761382285
35,1024,1024,2.415999854999996e-05,35.44057594712616,0.0,5926.675710106789
1024,1024,81,2.9536001363076688e-05,45.087042588088906,0.0,6434.976563892655
1024,1024,320,8.304000262563306e-05,99.02916267628115,0.0,7570.593563311648
64,512,8192,7.523200307552982e-05,31.96850822873927,0.0,6691.540144751817
1024,1024,81,2.940800202123673e-05,45.087042588088906,0.0,6462.985021058123
