N,C_in,H,W,C_out,kernel_R,kernel_S,strideU,strideV,pad_h,pad_w,algoMin,kernel_nums,count,time,ai,tc_perf,perf
1,128,24,18,128,3,3,1,1,1,1,6,2,946,4.61440051906912e-05,56.03230148048452,0.0,2309.6807387994218
1,1024,16,16,256,1,1,1,1,0,0,0,1,936,9.74720012868035e-05,63.354550395555286,0.0,1377.6598636246558
2,64,1,1,1024,1,1,1,1,0,0,0,1,910,2.0031997101920675e-05,28.763492759982448,0.0,418.8626804062137
1,1024,24,18,256,1,1,1,1,0,0,0,1,907,0.0001040639964672,82.73420459666517,0.0,2258.1452181116947
1,128,16,12,128,3,3,1,1,1,1,6,2,896,4.57279971151324e-05,20.31906782708768,0.0,790.7516244142263
2,512,8,6,2048,1,1,1,1,0,0,0,1,886,6.121600289947903e-05,45.65595638557012,0.0,3292.0019350318453
2,36,32,32,18,1,1,1,1,0,0,0,1,872,1.081600355634364e-05,16.479424690371555,0.0,488.1418513313454
2,36,32,32,72,3,3,2,2,1,1,0,1,872,3.6991997749297074e-05,78.58896852602057,0.0,872.6367312944974
2,18,64,64,36,3,3,2,2,1,1,0,1,872,2.32640006463192e-05,69.38594725186229,0.0,1896.231033976508
2,256,12,9,256,3,3,1,1,1,1,6,2,851,8.182400322485674e-05,41.66782435654345,0.0,3472.068693819367
4,3,512,512,32,3,3,2,2,1,1,1,4,800,0.0001587519921809,17.348575067664385,0.0,3514.3367987738798
2,72,16,16,18,1,1,1,1,0,0,0,1,763,1.318400225881207e-05,13.516435354273192,0.0,179.6504546574169
2,72,16,16,36,1,1,1,1,0,0,0,1,763,1.3151996453133448e-05,26.28409090909091,0.0,360.1752796147849
2,18,32,32,72,3,3,2,2,1,1,0,1,763,2.1088000965565232e-05,76.47072738024838,0.0,784.8982948657765
2,1024,1,1,64,1,1,1,1,0,0,0,1,760,9.584000417383728e-05,14.045863694813544,0.0,43.76493966331661
1,64,48,36,64,3,3,1,1,1,1,6,2,749,2.902400323548158e-05,89.75028636884306,0.0,2764.3480931643694
1,32,96,72,32,3,3,1,1,1,1,6,2,749,2.220799741577644e-05,66.02186878727635,0.0,3062.501797288783
1,384,12,9,384,3,3,1,1,1,1,6,2,744,0.0001184320015973,21.622924441096924,0.0,2730.43606152623
1,96,32,24,96,3,3,1,1,1,1,6,2,704,3.609600128429064e-05,63.552663684424566,0.0,2216.6807721946375
1,48,64,48,48,3,3,1,1,1,1,6,2,704,2.4768002276682238e-05,88.53707865168539,0.0,3257.7981501545873
2,20,1,1,5,1,1,1,1,0,0,0,1,696,7.199999030992112e-06,2.157742275280899,0.0,6.828056474505638
2,5,1,1,20,1,1,1,1,0,0,0,1,696,6.047995794213832e-06,0.4486731843575419,0.0,1.6997366317342617
2,10,1,1,40,1,1,1,1,0,0,0,1,696,6.752001293025713e-06,2.726728723404255,0.0,9.71800761764903
2,40,1,1,10,1,1,1,1,0,0,0,1,696,9.279996448547136e-06,3.3692434210526314,0.0,8.82974475845068
2,128,1,1,64,1,1,1,1,0,0,0,1,680,1.6480004191010066e-05,9.311363636363636,0.0,31.82135113084934
2,64,1,1,256,1,1,1,1,0,0,0,1,680,2.035200032156057e-05,22.056527590847914,0.0,103.06918076144927
2,208,8,6,208,3,3,1,1,1,1,6,2,650,6.895999611814289e-05,21.96690177566759,0.0,1485.676185719006
2,256,10,10,1024,1,1,1,1,0,0,0,1,650,3.385600064652115e-05,92.1777153745863,0.0,3474.873279578832
2,1024,10,10,256,1,1,1,1,0,0,0,1,620,9.795199935711884e-05,62.167558415171015,0.0,1199.4825299240927
2,256,10,10,256,3,3,1,1,1,1,6,2,620,7.820800036425712e-05,41.776054508836985,0.0,3632.6022744066945
1,192,16,12,192,3,3,1,1,1,1,6,2,616,6.262399352076287e-05,20.921938977677982,0.0,1295.0435678157635
1,64,32,32,64,3,3,1,1,1,1,6,2,609,2.7744001952409e-05,50.18234027279254,0.0,1290.0391249032587
1,128,16,16,128,3,3,1,1,1,1,6,2,605,4.403200200400562e-05,19.964381625441696,0.0,821.2092649503093
1,32,64,64,32,3,3,1,1,1,1,6,2,594,1.99039928284491e-05,54.32950191570881,0.0,1823.7948693447413
2,64,32,24,32,1,1,1,1,0,0,0,1,592,1.2192001615412967e-05,14.974607013301089,0.0,520.0629232188
2,32,64,48,32,3,3,2,2,1,1,0,1,592,3.292800321963716e-05,33.55057540884312,0.0,861.2943764256746
2,2048,8,6,512,1,1,1,1,0,0,0,1,589,0.0001865599990373,40.25299355234879,0.0,1079.4154429628713
2,1024,16,12,512,1,1,1,1,0,0,0,1,577,0.0001036479996782,109.10951638065522,0.0,3886.710725250304
1,96,32,32,96,3,3,1,1,1,1,6,2,576,3.5615993846579256e-05,58.994337485843715,0.0,2246.555644204911
2,80,1,1,20,1,1,1,1,0,0,0,1,536,1.2000001932518985e-05,5.615405701754386,0.0,13.656664467353053
2,20,1,1,80,1,1,1,1,0,0,0,1,536,7.072001929979462e-06,5.1484375,0.0,20.873297471007437
4,2048,1,1,512,1,1,1,1,0,0,0,1,520,0.0002173119990374,15.79466787166742,0.0,308.82285514501217
2,128,16,12,32,1,1,1,1,0,0,0,1,518,1.8175997097835692e-05,13.423286180631122,0.0,173.74650661536697
2,64,32,24,128,3,3,2,2,1,1,0,1,518,5.625600000021236e-05,79.7033303330333,0.0,1007.3993174023406
2,32,64,48,64,3,3,2,2,1,1,0,1,518,3.353600321840803e-05,64.24122934183822,0.0,1691.3586163083805
2,3,512,1024,32,3,3,2,2,1,1,1,4,505,0.0001709120044676,16.659798886804637,0.0,3245.893942488791
1,192,16,16,192,3,3,1,1,1,1,6,2,504,6.412799930981336e-05,20.653236847252103,0.0,1264.6706722938313
4,48,128,128,48,3,3,2,2,1,1,1,4,500,0.0003492160012925,64.27427286778136,0.0,2682.686694002072
2,512,8,6,512,3,3,1,1,1,1,6,2,494,0.0001521279986899,21.577978122370478,0.0,3775.9192584325815
2,512,8,8,512,3,3,1,1,1,1,6,2,475,0.0001596159993335,21.46896871755864,0.0,3598.781089606227
2,2048,8,8,512,1,1,1,1,0,0,0,1,460,0.0001773439996791,50.994627446213684,0.0,1514.0122726782217
2,128,16,12,64,1,1,1,1,0,0,0,1,444,1.8464002896743143e-05,25.098677517802646,0.0,342.0727366282033
2,32,32,24,128,3,3,2,2,1,1,0,1,444,3.136000385751267e-05,77.39015019210618,0.0,904.3590724305938
2,72,16,16,144,3,3,2,2,1,1,0,1,436,6.825600288966944e-05,48.90502003299552,0.0,389.13078521361734
2,64,64,64,64,1,1,1,1,0,0,0,1,421,1.9935997721716437e-05,31.66630708378281,0.0,3392.5140313557863
1,256,16,12,1024,1,1,1,1,0,0,0,1,420,3.1743999032866054e-05,79.56861557103908,0.0,3177.290419382101
2,32,64,64,32,3,3,2,2,1,1,0,1,406,3.3471999034100474e-05,34.13333333333333,0.0,1129.7285220842568
2,64,64,48,64,1,1,1,1,0,0,0,1,405,1.599999674414347e-05,31.473909935668335,0.0,3170.3046451285672
4,96,64,64,192,3,3,2,2,1,1,1,4,400,0.0006336960042615,139.65956467836557,0.0,2207.1613243482398
2,48,64,64,48,3,3,2,2,1,1,0,1,398,4.953600257239531e-05,67.5390130424834,0.0,2288.1239121859007
