N,C_in,H,W,C_out,kernel_R,kernel_S,strideU,strideV,pad_h,pad_w,algoMin,kernel_nums,count,time,ai,tc_perf,perf
4,1024,32,32,256,1,1,1,1,0,0,1,2,865,0.0002804160022796,120.25309491059147,0.0,7661.945846648652
4,64,128,128,64,1,1,1,1,0,0,1,2,845,7.696000258145089e-05,27.705061150654764,0.0,7030.472945051707
2,36,64,128,36,3,3,1,1,1,1,6,2,720,5.353600096505197e-05,137.70040168511807,0.0,6720.898862708894
2,512,48,36,128,1,1,1,1,0,0,1,2,672,6.400000323895542e-05,61.50961087669948,0.0,7084.799641447654
2,1024,32,32,256,1,1,1,1,0,0,1,2,645,0.0001533440048368,113.33680841582152,0.0,7005.595772350626
32,32,64,48,32,3,3,1,1,1,1,6,2,640,0.0001123520016209,50.803863520827726,0.0,7742.213502658129
1,64,80,80,64,3,3,1,1,1,1,6,2,640,2.991999577922901e-05,106.42106552357625,0.0,7434.679123665706
1,32,160,160,32,3,3,1,1,1,1,6,2,640,3.2607994466137275e-05,66.21021919652877,0.0,6948.2406296188
2,72,32,64,72,3,3,1,1,1,1,6,2,600,3.081599739624389e-05,129.6423382912487,0.0,7783.925891337116
1,196,64,64,64,3,3,1,1,1,1,6,2,580,6.364800223705211e-05,97.11669496321448,0.0,6902.169692048246
32,128,16,12,128,3,3,1,1,1,1,7,4,560,6.851200946093775e-05,23.91760271295841,0.0,7089.082626848297
2,256,26,26,256,3,3,1,1,2,2,6,2,560,0.000147200003589,140.9734862458898,0.0,7642.601552790102
1,128,40,40,128,3,3,1,1,1,1,6,2,560,4.444800127167313e-05,106.04169014084508,0.0,5962.459152666058
2,1024,26,26,256,1,1,1,1,0,0,0,1,540,0.0001121599964559,109.21768773363807,0.0,6435.149989361761
2,64,128,256,64,1,1,1,1,0,0,1,2,510,7.014399352322958e-05,27.77989392953609,0.0,7713.635748737565
4,36,60,60,36,3,3,1,1,1,1,6,2,480,5.302400421039075e-05,154.63835405435142,0.0,6785.795478069354
2,256,128,256,128,1,1,1,1,0,0,4,10,465,0.051428352000922,6.853398139391724,0.0,7074.95259131533
2,512,64,128,19,1,1,1,1,0,0,0,1,415,8.476800128978013e-05,15.979530293338208,0.0,6337.087106296609
4,128,32,32,64,3,3,1,1,1,1,6,2,405,4.502399611469944e-05,95.36179969716635,0.0,6266.633092300841
4,72,30,30,72,3,3,1,1,1,1,6,2,400,3.1712001603367935e-05,140.45720281816818,0.0,7563.995581235243
2,512,32,24,256,1,1,1,1,0,0,0,1,382,6.089599903197514e-05,109.15519811418865,0.0,6618.6023122532115
2,128,48,36,128,3,3,1,1,1,1,6,2,377,8.166400063449659e-05,183.9356059201009,0.0,7772.288340866349
2,512,12,9,2048,1,1,1,1,0,0,1,2,376,7.916799770300942e-05,100.77283076838668,0.0,5939.3243437067
1,64,96,72,256,1,1,1,1,0,0,1,1,367,3.5167999674633624e-05,122.90117160578912,0.0,6490.613344854052
2,32,385,385,32,3,3,1,1,1,1,1,6,365,0.000821631996069,84.89368987554658,0.0,6880.832639245494
16,64,32,32,32,3,3,1,1,1,1,6,2,345,4.844800228207175e-05,64.0580929602628,0.0,5873.204478965612
16,128,32,32,32,3,3,1,1,1,1,6,2,345,8.092799935256944e-05,63.74703923555813,0.0,6964.030107116523
16,160,32,32,32,3,3,1,1,1,1,6,2,345,9.711999644906796e-05,63.68335748652252,0.0,7239.549523343786
16,96,32,32,32,3,3,1,1,1,1,6,2,345,6.464000225989783e-05,63.850444234586696,0.0,6560.4116518276605
2,64,193,193,64,1,1,1,1,0,0,1,1,345,8.774399774013802e-05,18.601588106229755,0.0,7012.459699206681
4,36,64,64,72,3,3,2,2,1,1,0,1,300,4.175999644285559e-05,104.34091849400083,0.0,6184.018917563418
1,320,64,64,64,3,3,1,1,1,1,6,2,300,9.689599809175496e-05,95.61186059093527,0.0,7237.072797743027
4,18,128,128,36,3,3,2,2,1,1,1,1,300,5.552000226153724e-05,74.05640612409347,0.0,6356.472363555495
2,256,64,48,128,1,1,1,1,0,0,1,2,297,5.411200260919832e-05,62.44050873647926,0.0,7455.640089938579
